,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
9.59_1012.83,,,,1012.8329,9.589,17333,38368,21160,19478,12513,12751,12158,10512,16934,31442,8827,28962,77090,19049,58527,22154,20600,17903,22628,5107,14951,10738,22708,12296,14506,18848,29981,8610,14250,6580,19369,9937,8348,12890,8416,6566,15170,6716,10564,25435,7988,7046,8924,13511,23449,11481,20729,28179,8231,12951,14377,8301,13370,16661,39,91,100,128,71,49,86,20022,19880,20858,13878,20670,20215,20442
5.19_796.59,,,,796.5855,5.194,7552,17812,14850,16108,29914,38176,19626,38089,27802,13168,30693,18930,11804,25819,7791,3444,19692,17657,17198,27795,20478,22031,5801,25151,22065,22306,6275,13679,18563,23931,11590,24668,12503,13366,15601,34989,16901,16963,17376,13646,21627,16508,17548,19898,10101,18939,12554,12500,27389,15041,17324,36964,13411,21716,3187,2743,2290,2772,2834,2915,2961,18301,17485,17238,16736,17069,17848,16992
2.96_664.22,,,,664.2217,2.96,13,1,172,1,43,544,318,3,236,1,73,1,4,1,355,25,51,1,28,1,44,45,141,61,83,1,0,226,1,58,21,1,72,1,2,818,53,1,57,1,798000,42,125,1,26,79,35,169,33,1,1,1,31,27,28,338,328,37,31,58,1,32,191,98,34,37,1,1
5.33_842.57,,,,842.5684,5.333,9871,19745,25746,17635,26196,34653,38422,37521,23286,17601,36408,29459,34766,36117,17189,8696,38807,30700,7187,24454,15288,13226,11357,13016,16228,16810,7720,29475,14575,14752,9860,16025,21975,12386,10747,21297,20988,17804,13809,8039,18828,19673,15725,14818,13882,15111,10993,8557,21764,15691,19525,24799,18205,14744,346,243,770,4,1577,1119,1317,18227,17686,17661,16802,17069,18871,18657
10.53_1009.90,,,,1009.8975,10.529,33213,30475,26993,23320,17041,21978,21636,8060,18354,28793,14930,20748,44690,19681,35326,31593,26556,13314,22613,11759,15842,14584,17078,17337,14546,15644,22325,6817,17690,17293,17390,13154,11881,16137,13256,9528,10512,6660,11055,19331,7567,8210,9048,11665,16341,11198,15138,17065,12604,13948,12390,11421,14867,15758,2364,2577,2915,2636,2277,2668,2483,20581,20508,20011,20788,19148,20727,20516
5.24_955.76,,,,955.7577,5.244,17078,25672,28553,18788,14687,40303,80131,66917,42272,14158,36084,10580,62655,14717,43646,14839,14361,16123,10339,17123,16629,26113,9123,27159,12576,17295,8923,99308,9989,13788,12062,25090,24337,14617,43990,52096,11764,20634,14639,12399,11995,15108,15927,20177,12400,12098,12801,13827,14972,14149,12979,19139,16030,12702,13376,16618,34684,16520,16017,16164,16561,17836,17690,18035,19182,18113,17684,17473
11.78_976.93,,,,976.9274,11.776,8363,6058,42587,30082,19144,3663,31347,10543,3297,32469,15951,3880,15934,27212,41764,35555,29734,23225,5566,1805,4796,26657,3820,29757,22377,4802,13210,12903,22518,8008,25369,3157,31202,25701,39359,23287,19868,2072,2659,34892,2768,3860,2508,6157,3695,3389,54703,22827,5316,36295,22780,4505,4776,23445,1147,723,1566,702,1127,1257,853,33789,37991,6744,46501,7538,44101,4844
10.54_1001.83,,,,1001.8324,10.536,35945,31496,35817,19894,13363,20068,26373,14815,19964,49019,16465,27750,140232,22647,86767,28519,29389,16115,17748,6592,11983,9918,15198,12897,10471,14236,17513,12617,12169,7455,21197,9736,8915,11255,8940,7538,10411,7054,9782,16743,6490,6972,9726,11710,18726,8570,15235,16837,8439,10706,11593,8335,10699,14016,410,360,485,394,290,388,417,18504,19247,19381,19128,18533,19081,18327
0.86_543.51,,,,543.5107,0.861,32,2,2,30,1,3,128,130,3,24,3,1,6,1,70,46,40,1,17,2,37,2,1,2,1,28,1,10,1,31,1,2,2,34,3,3,1,2,1,1,793658,1,1,48,1,1,32,1,1,1,24,61,1,1,26,1,3,1,1,25,27,1,1,1,1,32,29,1
10.68_963.82,,,,963.8188,10.68,34275,27923,26555,20865,12371,18899,13654,8600,15671,44309,9826,24877,73240,18490,43910,41678,24467,11903,26315,5481,13159,11075,22025,13172,13711,14515,27401,7984,17101,7916,22717,10102,8818,14193,10989,7270,8164,5266,8036,20053,6318,5916,7061,9457,18283,9289,17254,19183,7761,10191,8815,6691,11418,12244,305,242,381,301,296,323,307,19341,19836,19830,20325,19784,18795,18805
5.06_862.60,,,,862.5956,5.058,10658,31915,23231,13790,826,59302,27413,26043,40662,13163,44446,20714,35348,32748,24778,5433,40672,24876,8374,12494,9591,33898,5408,25732,13974,15008,4307,15005,11563,16044,25575,42292,28034,21221,34625,75492,6927,7451,9138,6072,7872,9861,10783,7402,4931,7011,5446,8795,35472,17587,19378,47031,13876,22667,3,4,9,4,4,4,4,17999,17701,17310,17401,16975,16651,17529
4.57_929.51,,,,929.5142,4.571,7428,19445,15630,14600,24261,31277,23470,26503,30496,11083,28522,15884,25281,20897,19476,4745,16952,24761,11414,25133,18666,18157,10043,19057,15049,16994,11011,34792,14423,16918,10768,19083,20031,14830,26711,26975,18622,26089,22419,16321,21029,21949,22724,23046,13298,18637,17016,16051,16912,14721,16812,18989,14782,16404,513,708,1156,611,669,831,736,18799,18766,18124,18033,18232,18547,18048
6.16_922.01,,,,922.0098,6.156,9980,31564,20155,14890,13066,34277,77085,48845,32723,11345,29340,12780,60423,10948,30560,9459,25444,15638,9209,18580,13584,16276,7151,20942,13745,15702,7196,120015,10781,14753,8894,29464,19416,12190,29295,33777,10845,15860,13224,10338,100748,14569,14669,14499,11039,10430,10184,11262,13668,11564,12378,18941,13174,11904,11795,14915,30502,15255,14476,13620,13580,15792,16148,24642,15380,13224,15080,12637
10.28_976.82,,,,976.8187,10.279,29732,28961,28628,22357,13273,18424,25708,8665,16593,35756,13248,22396,65928,18519,42696,29245,26492,13362,23078,9258,13599,14690,17715,16732,14103,16248,20445,8632,15803,10527,21974,12703,11457,15540,14086,9838,11904,7252,9999,18471,7147,7547,9816,11361,18605,10737,15427,18006,8935,10961,11303,8079,12612,14599,990,1006,1196,1075,927,881,914,18879,19050,18557,19363,19770,18585,19132
10.31_823.75,,,,823.7496,10.312,19512,11322,11031,15481,14389,4999,7245,3430,9315,19907,4623,13240,2938,8907,7730,32160,7844,5233,34338,4061,11971,10911,32018,11819,14618,13566,56255,5356,17574,10033,29171,7902,8627,14894,9854,5250,13538,8561,16391,30420,9909,8379,10600,12978,23575,16348,24156,23660,7699,13032,8721,6107,11712,11316,5692,5371,5152,5751,5981,5564,5327,17989,18545,17750,18077,18524,17653,18252
5.31_742.57,,,,742.5729,5.31,4361,7627,11061,9697,14961,14255,17355,19495,25443,9501,19072,17051,13271,22140,9202,3751,15789,27504,8449,15262,19621,18041,14481,17665,18838,15542,9374,30363,18165,19186,9329,18842,18711,14525,16422,20330,30218,25546,28225,13750,29549,28810,33790,20349,18616,22378,16195,15066,15111,16678,21557,17664,16926,14221,9294,10649,16278,9786,9798,9739,10033,17268,17269,16776,15795,15975,17100,15875
10.87_913.81,,,,913.8058,10.871,37437,22474,16479,19298,12344,12197,9388,4855,11790,35645,6345,16446,16631,14089,15261,43962,20806,8771,37633,4867,13392,11122,26188,11948,15758,14408,29988,5491,20005,10247,27179,8645,6988,18174,9905,6668,6645,4036,7100,22215,5752,5257,6349,8640,17798,10031,17715,21761,9789,14360,9434,7256,12457,13327,2070,1847,2096,1845,1997,2401,2078,18531,19609,18812,19773,19714,19842,19125
1.90_270.32,,,,270.3161,1.904,270,252,410,236,257,2504,1174,765,567,156,447,221,1311,189,2815,220,277,286,116,294,249,348,286,382,302,163,161,6146,250,278,239,408,660,203,389,1286,205,298,588,157,763848,348,627,463,137,277,280,1214,200,326,292,384,219,215,564,649,1862,697,413,479,464,294,440,375,347,282,298,249
3.68_922.01,,,,922.0098,3.68,8838,13907,155347,13698,11809,24178,73451,42490,27545,9968,26976,11418,91503,12592,27909,8221,13143,12127,8171,15479,12167,17792,6190,19618,9810,14007,7386,108528,9376,13143,8657,18273,17221,11995,25583,279745,11350,13738,12893,9341,8839,12855,12352,12938,9696,10762,8825,9726,12624,10728,11468,15815,11639,10448,12276,11528,26456,12621,13744,11693,11733,12932,14272,12543,13502,12174,13593,12678
4.67_790.58,,,,790.5751,4.674,3067,6117,9746,9560,14239,14414,14168,20830,19395,3921,22000,20156,6537,19426,5842,2556,8018,19613,7812,14622,14735,20104,8862,28169,12531,14677,5794,33836,14047,13390,11639,23180,26742,14470,19090,27297,33957,23946,22652,9113,28098,20608,33464,14368,18659,16461,13156,13659,24543,28200,35703,36815,20686,32608,166,185,560,377,397,539,424,16310,16564,16109,15450,15091,15810,15819
5.88_862.63,,,,862.6334,5.882,3863,10256,14980,5631,72451,19229,18472,23088,19709,13964,20565,23462,8545,22873,10867,2775,19555,24001,8100,23485,15352,11810,6805,12767,11736,17249,7559,13799,14638,17622,10295,18289,12170,13084,10303,23530,19982,23021,27915,9659,29217,20582,24146,21739,12025,18812,16707,11414,28707,12454,18409,32935,10603,22512,1276,1339,841,1460,1403,1111,1082,17898,15986,16989,15552,17021,15327,17364
4.87_856.59,,,,856.5857,4.871,3727,21188,10849,10752,19554,21185,11098,23785,18049,12022,21603,36806,14774,13189,19480,4068,16159,34312,11702,31103,23491,26597,13793,20369,24450,21819,10636,26914,20121,32999,9533,19769,12607,13057,11646,17792,16170,15485,17204,11634,19059,18106,17182,15114,8376,14770,9586,11186,26371,13684,17894,23563,15416,24627,1040,1112,1373,1077,1187,1231,1178,16139,15921,16438,15323,15580,15868,17548
10.92_920.86,,,,920.8628,10.919,24479,19958,17885,19406,20605,12778,10419,5811,15489,22120,7103,15289,8224,14392,14955,27197,15023,10030,28535,7786,18127,18371,22996,20400,19084,18661,25219,5875,18912,15614,24690,15296,13896,17515,18990,10175,10237,5904,11505,21449,8702,9022,8638,12065,15450,15652,19512,18750,13825,15475,10112,10088,15829,11905,4563,4599,4397,4888,4603,4529,4437,18840,21985,20479,21958,21653,21479,20512
5.00_818.57,,,,818.5682,4.996,11989,36769,30020,30452,22036,48984,44222,53182,27985,21839,46040,35749,45121,37542,30137,13979,35209,63572,7925,25825,14123,15438,10735,14371,16022,17074,9423,31614,13214,16850,6652,12856,13671,9854,9843,15965,15082,6016,9816,10277,7387,19923,7298,18887,4,13007,6708,10738,12599,4943,5705,13866,12007,11255,797,356,515,655,986,755,934,19546,19387,19937,18604,19114,19777,19282
3.85_419.32,,,,419.3186,3.849,7870,10589,32160,13342,10420,20235,62994,35640,30501,8950,24877,10717,30191,9300,25260,6967,13063,9593,7124,14728,10774,11563,5008,17089,9389,11164,2132,87648,9414,12773,7306,18609,17049,11964,24926,75626,9659,11233,10581,7404,8962,10984,13055,11301,8942,10605,7945,208315,11091,9426,10293,14625,10027,9173,11779,11486,29438,16653,13844,11555,11744,13343,10051,10078,13193,9914,11378,10461
5.17_808.49,,,,808.488,5.165,19674,24577,30556,20990,10437,44242,113383,86890,42769,17008,39408,9429,80652,14286,61017,16840,16267,12550,8539,13978,14763,24854,8464,32375,10518,15137,6734,146484,7018,11923,10693,23946,18172,13538,40322,46301,11086,20092,16344,10238,12775,11362,15806,15686,10151,10496,11039,12329,11700,11224,9442,16651,11883,12216,905,876,1898,416,512,920,617,18091,18975,17610,17431,16770,15741,16104
9.38_950.82,,,,950.8175,9.382,41931,25256,16940,18307,19290,14358,11816,5586,16692,28366,6182,23267,8522,12803,18270,43699,20156,6680,35685,3557,12647,12028,21408,16833,17922,14448,35802,3766,17375,4776,32350,12113,7494,15848,10900,7528,7050,2704,6536,19477,3915,3522,3865,8899,18560,8524,13948,21610,7226,9309,9223,5767,10330,14003,215,329,200,201,87,317,312,17675,18671,18287,18210,18661,18535,19676
11.33_934.88,,,,934.8805,11.327,34946,22299,20052,20184,16445,14947,13270,6977,14432,21745,6993,13902,10539,14997,16404,30676,17976,10606,31090,8652,19124,17474,19958,19261,17356,17191,16277,7442,17386,13575,22611,15924,14885,17765,20875,11932,8492,6895,9494,17310,8573,8915,8860,11755,15591,14695,20050,16689,15428,17266,10828,10394,17048,12845,5763,5167,6518,5915,5634,5156,5329,18901,22095,20420,22962,23593,23638,21084
5.80_798.54,,,,798.5429,5.797,6383,12652,15447,13647,28968,19330,14400,22434,22437,9215,24269,15505,7720,17189,10760,4698,13210,21044,12675,24595,19041,22464,11413,19781,18686,19462,10693,19878,16075,18955,11130,20796,19880,15140,19240,25716,18320,24714,19798,15471,19052,19793,21659,18875,15759,19615,14834,16461,19659,16160,18303,22342,14735,19215,15041,15247,18738,14288,13378,13021,13297,20767,18482,17963,18382,17740,17922,17906
5.06_870.54,,,,870.5446,5.057,10758,22053,24224,18915,15724,29031,43842,41324,18843,16157,28795,16181,31351,18181,32099,12971,16249,21029,10315,26524,18894,15189,10080,14274,15231,19052,10910,27878,13951,17783,3812,21597,20736,13530,13555,24467,17121,26477,8299,13110,17324,21642,18809,22935,15416,17161,15445,12890,19619,13001,18281,18434,16837,14433,707,830,704,251,632,441,293,17870,18664,18586,19366,19333,19685,19374
6.06_797.62,,,,797.6225,6.062,4,6,7,3384,44887,10,23,1339,10,703,9,4,22,2401,11,339,5,2682,19125,36561,30853,18398,18898,13895,38075,23140,14384,5499,30340,36604,15915,29568,48634,27540,25517,25515,19394,17434,33042,13570,33259,44951,16951,19201,20033,29482,18514,15234,5786,2162,9721,2026,10385,9127,13035,12732,12017,12734,12012,12213,12000,13425,13134,17210,16375,12402,17092,14152
10.92_973.90,,,,973.8989,10.921,31507,20291,19188,21222,13946,15523,11920,3924,12983,23347,7454,15150,16649,13410,16462,33597,19958,8539,25614,13337,15802,13105,19624,15230,15071,14363,22081,3789,20117,30263,19566,10328,9390,18029,13533,6980,9869,8708,14834,20113,11520,12417,11887,13234,15265,14286,17525,16138,12311,16194,10133,9745,13379,11054,2875,2730,2286,4573,4694,2935,3102,18938,20351,20459,20751,20224,19907,19769
5.06_912.53,,,,912.531,5.06,16419,24217,22586,19810,13374,33779,99795,65850,25879,12767,27133,9956,77544,12003,58555,15970,8799,15052,11980,20986,19842,19282,7571,20545,12082,20080,10491,102683,10918,18011,12549,25233,18971,11590,34001,38791,10249,22432,16413,15199,9869,9082,18363,23263,12835,12911,14937,13885,14330,9764,11974,14837,15722,9410,3,362,1328,567,729,689,420,13818,16893,17329,19058,19871,20331,20831
9.69_573.49,,,,573.4895,9.693,55180,25324,21930,22632,15105,16317,14348,6660,12475,21249,6700,19239,20129,12354,18621,47707,20384,7087,36729,4080,11539,13089,21247,19652,18671,13362,30616,3774,17782,4710,39820,12631,7783,19164,12168,7310,5218,2057,4347,14229,3194,3300,2788,5820,16570,7200,10532,19542,8072,9273,8448,6787,9647,13481,416,438,549,434,300,338,277,15906,16885,16778,17277,16826,16805,16468
5.35_599.50,,,,599.5039,5.352,4080,20788,8773,16224,16611,25442,12224,19803,32146,10103,24604,21071,11818,20373,10650,2853,12789,21926,11311,32748,20078,23311,14933,18618,27257,21794,11684,24428,21059,26151,8424,20120,13166,10877,16902,17484,20780,20657,19557,14040,22325,23756,22031,15484,10737,19255,11868,13574,16866,12214,16753,19892,13024,15424,1781,1625,2283,1722,1793,1744,1981,16750,16367,17021,15415,15828,17024,17280
11.93_934.88,,,,934.8817,11.928,11000,7852,65934,6776,4636,6357,73399,4164,7164,73869,36404,5950,40766,6369,12318,10066,6978,37691,6855,4059,5927,4809,7515,46950,25550,5909,2866,27290,27101,34251,42115,5051,5594,5921,7551,5993,3314,3382,3985,37527,4222,19079,13485,6908,5497,5004,74967,24282,5161,5752,4493,24149,6184,4336,2208,2303,2928,2239,2406,2167,2091,5965,50468,6651,58390,8229,7588,6075
11.77_1016.96,,,,1016.9595,11.768,54735,4773,42725,35831,19579,2184,1097,6475,2574,52287,156,3452,15723,3558,5478,55533,3982,20170,5057,909,3189,2693,3942,22899,21238,3672,24107,2328,29945,4063,52167,1945,2132,33107,25939,369,13202,1022,1647,28569,1411,1698,1457,2915,3398,2678,29866,29643,3082,26847,20174,283,3918,19042,291,157,149,215,292,259,236,3849,33637,5189,38476,5248,35534,3589
10.05_853.73,,,,853.7304,10.051,48472,19022,20124,22406,16578,10201,12752,4618,11512,21690,6649,17859,10484,13480,16049,48490,18475,6611,32601,4123,10291,12798,24510,17341,16377,12101,32210,3691,17069,7271,37398,10575,9805,19577,12276,7855,5825,2222,5318,14481,3106,3591,2932,5739,19204,8165,13054,19473,10051,12092,9830,7974,10601,13907,1613,1485,1432,1602,1463,1442,1480,17313,17579,17286,17687,18336,17521,17710
9.70_926.82,,,,926.817,9.696,30864,21672,17669,20535,20266,15167,13417,6049,16568,25512,7154,21320,10145,12693,17476,35631,16414,7767,30267,4322,14892,14416,23103,16410,17462,15610,38124,4196,19515,5929,26046,12775,9675,16536,13502,8378,7229,2712,7529,22384,4876,4717,3675,11423,17319,10732,16623,21465,8722,9564,9091,6723,12007,12739,606,592,836,761,536,661,565,19076,19446,20099,18069,19791,18889,19432
11.14_549.49,,,,549.4907,11.136,24260,14039,17047,16195,12564,5840,6233,2181,8373,17323,4120,10426,4080,10299,9596,24460,11110,7359,24503,8082,18123,16355,22103,15622,18794,17682,20875,1168,17677,11564,22086,13052,13832,18456,19829,7285,14330,13513,16915,22660,14291,15775,17479,20663,19829,18897,23689,21289,13282,15419,11918,9249,15933,13247,3823,3698,4007,3787,3776,3786,3508,20876,22204,21333,24175,22457,22167,21829
11.77_963.84,,,,963.8362,11.768,8537,6563,44672,38502,23155,2569,7887,8532,2774,56570,4412,5009,22375,4533,52967,51467,5423,22070,5443,7203,4010,3418,30464,20223,18166,4054,20123,8015,25023,13258,38336,17606,2768,32485,27083,1857,11141,1518,12541,20000,8795,1833,8241,11395,3524,2754,22083,22991,3792,21571,18072,3263,4413,231,172,328,194,315,121,82,260,28706,29623,6692,31493,6520,30060,4725
8.88_552.49,,,,552.4911,8.883,2228,4232,16316,2654,2900,14822,34625,21614,20933,5044,15022,7920,23017,8653,11122,1394,7135,5368,7342,15549,15466,27193,4824,22367,16673,13275,1566,97146,11968,20769,9832,33746,29779,20894,57031,75229,22271,28064,23389,12195,24212,23885,32154,24189,10450,18894,13511,16528,28762,25096,18440,41323,18458,21608,180,346,515,159,251,248,281,18755,18268,17567,17127,16090,14526,15147
9.98_900.79,,,,900.7936,9.98,28114,22474,20575,30996,18294,12504,10324,5034,15454,21183,6744,18024,4373,12513,15785,31220,15865,6854,29966,5648,13955,16965,23865,18642,19176,15435,31303,3329,19369,9694,26428,13646,10930,17894,16318,7996,8331,2689,7875,18194,4477,4919,4576,9190,17873,10504,14385,22827,10610,12734,11110,8737,12611,13219,1918,1581,1607,2176,1818,1825,1786,19614,18114,20152,20339,20698,20081,17815
7.32_707.70,,,,707.7036,7.324,9563,18346,22346,17574,17065,24722,19850,29643,35331,14659,40068,23800,13977,18286,15955,4890,12563,23695,22049,55524,41910,46795,28927,43258,35872,30934,25286,31343,23623,30221,5887,11419,10083,7859,9458,14208,8950,8067,8359,4448,8853,9082,8174,4685,5992,8722,5619,6288,4809,5030,7909,6762,5923,3457,89,235,247,123,249,91,198,16038,16498,16848,15168,15056,15867,15891
8.95_892.73,,,,892.7312,8.952,57734,24040,22036,25231,19346,19148,20714,8106,16846,32846,8781,24382,16278,13726,24185,58700,24476,7328,25739,3064,8878,10951,16000,14717,13961,13035,24982,3239,13608,3690,31926,12524,7850,13777,11086,8070,4848,1758,4343,12148,3223,3034,2706,7523,16692,6367,10796,17747,6977,8986,8979,5655,9742,14858,273,379,202,266,125,43,106,16949,16163,17410,16914,17349,16799,17061
9.35_1019.78,,,,1019.7845,9.352,15886,15239,32283,20205,11031,12900,19104,12693,17370,37372,16023,29321,148799,30015,99964,24816,26576,19160,10993,3408,9015,8132,15023,14189,8367,14398,14162,11879,7675,4211,20121,8622,9484,10394,5920,6261,12464,6701,8708,14952,6716,5701,7652,10674,27951,8687,18000,18318,8027,13002,17501,7275,12546,20536,160,107,245,142,65,68,102,18361,17555,17726,18703,18679,17949,18482
9.77_881.74,,,,881.7432,9.773,25366,16634,15510,19257,13332,8982,13094,6163,16281,30942,7077,26460,15247,16504,16612,36222,15829,6577,32118,1691,10862,12106,25888,13029,13080,14705,43488,7969,14099,5101,30722,8263,7289,12650,8674,4410,8960,3582,8001,19146,5912,3937,4576,12058,18812,9694,17002,21938,8199,10355,10434,5895,10876,11777,222,268,423,404,200,321,120,15087,16318,15673,16319,14979,16518,16643
5.00_864.62,,,,864.623,4.998,17405,22733,26187,16312,15011,37174,118063,61553,41465,12343,29201,10973,112764,13004,51732,13357,13200,14238,8310,15375,13548,26362,7376,27902,12083,14316,7516,156758,9402,13271,10068,22426,18273,12428,45846,50773,10434,17088,13634,9904,10833,12311,13785,16613,9590,10450,10714,11832,14025,11625,10682,18656,12653,11854,23819,23506,16005,23130,24639,23094,21306,15121,15812,15609,15956,15651,14596,14103
4.23_851.54,,,,851.5403,4.228,14347,23976,32817,14070,18426,66140,59046,43542,22496,28554,50998,22183,41541,14712,29703,7775,24764,8433,12930,29004,18408,21160,6438,24075,23471,15394,5386,25399,13799,17472,7134,15054,9641,10938,11630,20099,20733,9507,10999,13357,11504,11708,10541,10364,9865,12540,6606,10274,20737,9835,15269,26226,9715,16711,3,82,253,73,3,119,87,15966,15196,15886,15219,15470,16331,16844
4.91_782.47,,,,782.4719,4.914,9529,24494,15280,18569,13872,33520,27584,30183,40033,11376,31785,16476,19881,16247,17520,3861,14059,14407,11010,25293,20329,22624,15251,21015,20727,17568,10199,36389,13767,19669,10281,22390,20057,14020,26119,30485,16836,17373,15789,13599,11539,18677,17272,13890,10289,12226,10073,13761,18387,13916,17625,22760,14171,15143,3,165,255,3,3,3,3,17313,16523,16585,17483,17225,17052,18145
5.39_853.63,,,,853.6287,5.39,12177,22204,30130,16321,21419,39479,12158,42163,40643,13612,34642,18285,13390,14392,17796,5067,25867,17751,11348,27575,21861,26471,14299,21452,18142,17771,11402,26055,15973,22524,10478,22609,22088,19673,27134,43247,10964,10411,12174,9922,8652,13068,13048,13541,7956,11432,9652,10708,13887,11852,10923,22017,13174,10995,2869,2833,1128,2711,2671,2998,2908,17798,19414,20707,16953,16867,19563,19053
0.60_671.29,,,,671.2903,0.602,53,4,4,3,3,167,143,96,93,2,55,47,13,29,68,26,65,3,2,50,3,4,42,4,60,42,1,21,2,3,24,48,3,2,6,325,36,3,41,26,733799,55,34,3,2,32,2,24,32,24,27,66,2,2,28,86,247,45,3,2,2,3,66,3,3,32,27,3
5.66_1668.20,,,,1668.1968,5.662,4636,4676,17401,3542,43827,4543,1862,2387,963,8073,5115,9789,3158,22789,4034,5726,82690,71626,2260,25753,8841,553,22744,227,10207,7989,5810,505,14013,8695,5588,7007,19390,18668,372,3388,23682,18528,8426,3134,31854,22583,8322,17708,30588,18301,10555,4066,19702,16810,37700,12555,25594,14143,151,275,7,208,105,187,169,11669,10116,11282,9523,10924,11005,11995
4.55_857.59,,,,857.5894,4.547,6907,20191,14896,6874,61189,17851,29086,18764,8513,15964,11295,18708,13647,12601,14465,3736,15912,11938,10604,20683,16408,16877,6861,12535,16950,15136,4817,17754,13098,19094,10802,22529,17311,17117,20316,36146,18728,12474,16733,12409,17462,13091,14649,17049,6999,14192,9461,13001,40983,12842,17981,37325,14945,29738,145,3,270,115,59,177,3,15451,14381,15120,13522,13850,14407,14393
5.09_774.54,,,,774.5449,5.088,2910,5097,8946,11487,25504,12082,15327,38107,21687,5872,22228,24261,13147,18494,7966,2267,9551,13007,4179,8718,5621,12952,3900,35723,9554,13149,2658,66391,5732,7673,13140,18570,28278,8280,11887,26678,32374,22518,13585,9180,17086,15209,23635,13650,25272,15251,9991,15051,26534,32548,49169,32172,21863,32503,340,1173,1090,1239,1135,1538,1396,15888,15900,15630,15130,15333,15750,16140
5.45_922.01,,,,922.0098,5.448,9470,13397,20216,14873,11881,246475,81604,44816,31775,11112,28917,11976,59657,11995,28792,9130,13974,15133,8422,18037,12826,15415,6609,21584,13196,14932,7145,116889,9811,13871,10267,19887,19125,11612,30419,34733,10640,14425,12879,9130,9052,13804,13922,13153,10401,10092,10031,11389,12917,10571,11359,16835,12399,10441,12496,24366,28706,43116,14930,13030,13128,15125,14906,14633,14869,13227,14330,12085
8.88_888.71,,,,888.7099,8.878,18755,19017,12124,18913,21395,11638,11103,9556,30271,32208,7172,38040,9397,16768,15806,25455,14494,8574,24999,3623,12030,8492,19747,11779,11877,13749,42950,8964,13366,5121,20896,7978,6218,10019,7409,5988,11531,4743,9475,25509,6609,5410,6291,15578,18902,9174,17093,24995,6928,8453,9239,6513,9660,15149,119,71,351,4,79,132,95,16749,16937,16904,16680,17123,16875,16564
7.72_419.32,,,,419.3205,7.718,6789,12939,14332,12118,9403,22603,52014,31121,14124,9582,20576,10005,34912,7303,21772,5842,8904,9802,5785,11797,282000,62746,4998,17300,11098,9978,4633,74677,8667,11680,5895,13486,15633,8058,21924,14750,9896,7421,10826,6070,5850,9859,12000,9344,8092,8911,6371,7305,10343,6559,8078,14355,8513,7566,8727,7980,26218,11499,10868,8411,8678,11687,10256,6926,12695,8689,9521,6505
6.13_537.54,,,,537.5361,6.133,14304,17123,12814,8559,10550,26038,62656,29316,20720,9823,33802,14644,51035,11536,35797,9556,13949,15663,14698,23241,20709,18550,19817,14004,15429,31473,14220,103014,33611,9381,10709,15405,13393,8464,19552,23892,8222,17954,11093,7176,8629,10652,14352,11509,11374,13027,16710,26360,9063,16459,17027,14454,8837,15501,9044,10207,19257,9860,9649,9796,8962,15991,16018,16176,15011,15734,15650,15927
9.04_869.67,,,,869.6653,9.036,36286,24185,16623,21792,21144,15303,18667,8668,21261,24077,8600,22929,9737,12946,16049,36451,17203,7173,30308,4621,12169,12594,17911,16079,15125,14558,32196,5137,16317,5670,29041,13091,8596,14973,14263,6762,7898,2863,6712,17887,4772,4472,3776,10770,16213,8186,12996,19650,7826,8646,9345,6236,10233,13248,167,79,10,290,4,199,125,16630,16917,17021,17014,18051,17347,17993
10.89_933.79,,,,933.7885,10.891,27643,25171,26042,22759,16534,21833,25869,8082,18356,25753,14284,19094,36329,18471,32562,25945,23140,12784,16772,8048,14969,14317,16509,17167,13762,14574,15635,3638,14788,17925,17056,12720,11712,15846,17853,10413,9094,7391,11433,15072,8212,8726,9229,7104,15475,11415,14308,15574,13396,13380,11496,11560,13685,13532,2011,2077,2373,3612,1910,1640,1502,18974,18995,19290,19472,19065,18421,18523
9.52_854.72,,,,854.7238,9.515,36807,21522,17109,20187,20362,14546,16372,7718,18401,30098,8124,27014,9393,13785,17139,47681,18057,6069,30787,3834,11139,10628,19449,14704,13807,12529,38128,5890,15124,4655,25735,10457,7490,12522,10670,7200,6591,2756,6116,17609,4093,3795,3533,9264,15050,7874,13288,17421,7352,9327,7246,5714,9031,11480,490,397,709,449,275,353,413,16782,16681,16389,16909,16321,15580,16351
