,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.16_634.54_6.17_574.52,Cer 37:3;2O|Cer 19:3;2O/18:0,[M+CH3COO]-_[M-H]-,JMAMJHVAFHHKCP-MZTCKNHJNA-N,634.5439_574.522,6.163,4078572,5893460,3997014,5089253,5529469,5120463,4746864,5706399,4157578,5280471,5901065,2641987,5780349,4619000,4421533,4456879,5134442,7082069,7772733,4621831,4824055,3776166,3396243,3689017,4300243,5801091,7544988,6160507,3841562,7065411,5365507,3612739,4142815,3640505,5210066,4201116,3450873,4514742,4240749,5044191,4831146,3112952,2926706,3191903,5632039,3660471,2891669,5359741,4657663,2481866,4878233,2640619,5499011,3469583,225,377,342,718,877,834,1031,5552475,4972930,4781354,4671115,4542194,4509974,4452101
8.06_620.60,Cer 40:1;2O|Cer 18:1;2O/22:0,[M-H]-,KEPQASGDXIEOIL-LAPDZXRHNA-N,620.6002,8.065,550548,220242,354468,387971,284625,368596,441726,414064,404105,303226,364965,533815,286954,270899,599920,420786,389377,361390,191295,381020,422165,525984,514032,422650,567801,344229,285217,445724,517032,196709,451188,428289,527494,401639,310804,514214,604631,485986,543694,234162,439910,634242,428789,497783,420447,541983,539921,250692,457129,536516,287169,501517,318144,476959,11197,12853,13467,11766,15039,15375,15513,459940,450183,449560,453431,455085,473383,457596
7.36_618.58,Cer 40:2;2O|Cer 16:1;2O/24:1,[M-H]-,UQKIGQZPZLUGRA-PDQWDRSSNA-N,618.5846,7.358,441209,479785,336312,350341,353675,391250,380600,435684,418978,315691,385353,273054,422842,505749,430400,464737,346476,426425,314157,258079,238988,220242,222419,285584,287676,367022,405544,291195,286835,291290,322196,214881,309721,284443,322369,254052,209634,205818,276229,231307,253233,252181,248999,165466,338907,231595,275965,243493,238166,214022,232161,216371,278725,249250,603,516,731,375,684,699,579,352975,324662,338252,329697,333799,330056,336303
6.76_676.59,Cer 40:3;2O|Cer 16:1;2O/24:2,[M+CH3COO]-,URYITPQMSMOEOZ-ZJGVNGLSNA-N,676.59,6.761,282392,331604,213966,215707,245308,296004,229611,329948,255192,218273,236284,199719,229155,316804,320640,280191,228653,256077,155634,130038,120100,121414,102290,151632,166406,174385,165140,166087,146178,131661,172780,110757,148942,145180,129787,138996,114038,93135,115985,90406,103983,125413,126325,74855,128662,104288,124099,99503,112834,94415,96809,113886,96381,122431,477,253,246,284,304,133,556,190258,180730,187704,189881,184263,188680,191201
7.61_692.62,Cer 41:2;2O|Cer 17:1;2O/24:1,[M+CH3COO]-,IHCUODHUCJDYIO-XDORPINWNA-N,692.6208,7.612,617323,517918,451244,385426,286852,511393,394854,384039,547760,324517,365236,335801,484673,407331,509250,445642,413972,333497,362967,342272,319802,370494,244741,392200,456377,402288,360019,154699,457853,248649,384639,317860,347913,379412,351301,379047,186857,160200,211221,158081,236531,241618,225703,132865,234779,238573,232091,330508,237944,215371,154718,299710,252481,177125,176,48,37,100,40,102,4,342780,344113,345412,345516,361557,362180,370208
8.25_708.65,Cer 42:1;2O|Cer 18:0;2O/24:1,[M+CH3COO]-,WLDYKNUYRLBSJM-VXPUYCOJNA-N,708.653,8.248,125015,124791,125748,231109,256134,116498,96813,143934,154963,151424,255730,206751,121518,139639,138816,81032,105641,105479,57287,73597,67758,69949,94873,53666,98953,99923,55322,79237,55972,39735,63313,45701,76172,54796,49955,70195,282499,210620,304532,69555,161038,280081,133164,184293,178191,186309,153236,161653,91867,133556,70178,119288,116057,104876,4815,4611,5084,4724,5457,5947,5808,123348,129438,130813,133957,135112,142581,142977
8.70_648.63,Cer 42:1;2O|Cer 18:1;2O/24:0,[M-H]-,ZJVVOYPTFQEGPH-MHAUTQJVNA-N,648.6312,8.699,396955,169327,213088,225884,842786,353592,278848,280025,268997,306143,254739,466204,159435,230447,427058,282927,227046,387517,405333,661584,605012,690657,771797,497567,783843,679279,341981,611969,672681,230474,557391,474099,737893,477938,472852,667845,1241932,938183,1575941,348999,800883,1305875,636164,858344,744484,864850,848390,560284,579197,1121953,500042,733254,848598,730306,63732,72628,90767,78652,95015,101267,104065,568658,585086,580496,592457,590110,584870,609437
8.02_646.62,Cer 42:2;2O|Cer 18:1;2O/24:1,[M-H]-,HZPUWSUHFOTSAY-AKTWBEBINA-N,646.616,8.02,1409048,1129604,1085294,1225270,1146885,1062215,1097879,1260877,1392199,1030155,1208513,1480535,1096384,1257178,1470079,1254038,1091089,1229836,1003136,1394893,1317172,1467846,1677261,1314331,1741510,1513463,1374218,1243370,1708248,807359,1560642,1430525,1748161,1429272,1337863,1478829,2071688,1811027,1859237,1148323,1665207,2276585,1512018,1724544,1908259,1988414,1935790,1281825,1584944,1725495,1232669,1648917,1327164,1656962,9680,9679,10425,9434,11690,12483,11972,1599464,1531547,1528808,1509967,1504937,1554385,1532890
7.44_704.62,Cer 42:3;2O|Cer 18:1;2O/24:2,[M+CH3COO]-,GGSZJXUUQMDAST-PKPBCWLKNA-N,704.621,7.443,650750,629219,503225,574790,714205,653907,620100,908875,720589,665792,605209,743533,551178,706192,758618,548465,581797,612381,367967,383819,301514,387118,283477,461199,499254,512047,363152,647634,382023,257704,533093,370299,513910,336485,341406,493404,754927,586597,564621,360434,467049,586512,513844,521840,645525,510402,609605,463973,514124,463215,340317,636980,378770,755066,7882,7593,8754,8166,9645,9633,9933,557803,555536,563346,560937,568947,580213,594580
6.93_702.60,Cer 42:4;2O|Cer 18:1;2O/24:3,[M+CH3COO]-,MRVHMHLOVRJTKO-XZEUHWMINA-N,702.6041,6.931,412930,357066,275462,316827,305105,432206,326069,418857,389684,397152,308894,367020,323533,252922,358310,271471,379186,302564,173948,186833,135813,219353,99488,202192,291093,216456,170114,215676,184066,128593,263343,208253,193432,170972,181052,292145,342812,197162,212971,128890,209194,238783,171132,219581,229335,222588,229045,129956,246296,208994,133589,352867,159609,279658,733,321,150,186,39,494,486,291139,276008,273280,274416,266932,262010,262604
