,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
3.11_295.27,,,,295.265,3.108,51869,62490,53533,61506,63920,50707,63771,63790,61881,49071,60254,74168,57115,62209,48111,42295,46345,44555,70230,58182,42023,39082,31329,50228,54587,59108,54366,95347,34607,42638,58512,35935,52294,34461,43056,51394,44931,48030,53135,39218,51852,50001,34923,34091,46246,42183,49689,43589,46473,37225,33764,30473,47933,37782,17123,18442,16440,15939,16006,15842,16016,62366,54468,55106,51191,48275,48658,49373
6.22_605.48,,,,605.4802,6.224,34577,77630,61301,58104,39808,70128,50180,59399,58232,51557,67215,39368,72633,67732,38422,63840,41421,57580,43746,19680,22209,39846,27058,51642,39742,38772,40639,43913,42042,88134,47724,73341,45833,46272,48667,40617,37870,41474,14587,76572,35227,29189,69007,52798,40726,40668,64577,24988,69521,43138,88659,76697,47322,63647,7214,6825,6800,6857,11894,11720,11830,57377,51375,49952,48093,45699,46739,46120
7.91_1013.78,,,,1013.7778,7.91,45483,10812,46645,15111,24727,37265,45396,27352,56621,27671,10647,62806,35265,16358,33279,35963,55949,29212,7471,53588,78853,94027,91283,47750,22227,29987,37466,33632,103037,29270,43373,97983,60620,77432,34557,55792,111600,17433,45460,23574,52714,70665,57730,75246,24580,66627,60085,2056,44277,67505,40956,87596,18318,59641,904,1507,1435,1341,1565,1415,1537,13255,40103,49099,56218,57019,57863,56995
6.49_790.56,,,,790.5606,6.493,58345,68068,52865,65996,63176,25529,74722,78713,20496,67861,59964,20675,34843,67573,61350,52737,55998,57311,57167,41776,38896,37466,37415,67958,57542,48166,41727,75255,37587,55657,50999,48887,41912,47548,46958,52275,22083,54990,38639,51946,45037,34078,59286,50199,53663,36591,42745,55453,39078,47627,55001,46437,49001,53551,162,8,7,7,8,8,8,56679,57105,54753,56508,53635,54139,52944
5.80_751.55,,,,751.5482,5.802,42414,68261,36579,49650,69074,69540,59075,52975,57873,46427,58655,41892,46028,47560,45713,59917,40507,79710,65007,53124,48517,40634,43125,41337,47490,55727,59347,44441,47407,60663,43459,48486,35200,52157,58949,35570,30604,51659,39687,70087,49223,42075,54125,50858,54324,38126,53369,63803,43263,39167,50992,40795,48445,52338,6099,6679,8182,7311,7549,8322,8252,55750,49354,49471,51666,52119,55753,55432
5.12_852.58,,,,852.5752,5.115,82472,45106,81556,44609,46760,58707,47980,44936,82968,53143,36532,82019,49730,39057,56328,45525,65783,40614,39438,44858,52711,73299,61372,50791,43376,41607,45254,41292,79817,49121,61216,55324,54950,54379,42884,70065,46295,28612,37081,32407,35648,43271,38847,33617,32385,39204,31575,29376,29236,47469,37757,37456,34668,34029,2130,726,2518,2203,909,551,1406,33165,50380,52503,49619,45526,45402,43835
5.82_1552.15,,,,1552.1505,5.819,53513,72984,46852,60427,55384,45225,39478,43744,50067,53383,60579,46887,54919,65965,53429,53125,53767,84482,65140,37338,40102,32433,34166,51871,46196,51756,57149,47645,47380,39503,39623,49524,45752,43728,57233,49068,40311,69048,34125,38856,54709,42205,49719,46163,50482,49628,36652,60013,45345,42549,63564,37594,68394,59403,1361,1307,1356,1203,1367,1271,1047,65340,51329,54898,52875,40020,35917,34031
5.29_358.15,,,,358.152,5.289,39834,80486,45318,70815,48228,42954,34696,40526,53014,55544,93485,40823,45665,40383,37355,41452,40872,71382,59423,40431,30618,32742,42472,51853,70734,46393,44967,49195,36905,56675,47438,34943,57325,44567,54918,48209,43294,76149,46705,52497,56290,41645,44729,41587,50413,55444,39030,58556,78437,61025,55834,36060,89629,48265,73764,53681,38101,37449,40876,37858,36220,85945,62174,50825,44961,39955,35901,38247
4.53_491.36,,,,491.3602,4.529,41407,75141,45033,70910,56076,42979,34577,40567,54928,54523,84240,41469,45649,41748,37365,42510,43784,71288,63669,43102,34910,33834,43544,53693,60617,47011,45626,48045,42732,57795,46069,35891,54643,40007,53620,49994,47561,67980,47016,52233,58189,44140,44033,40860,49320,53283,37602,62116,71013,57622,56255,36015,87624,48955,20253,17329,11822,11942,10892,10102,10265,80224,60819,52172,45879,41592,38142,38932
5.92_763.55,,,,763.5488,5.917,59874,58488,55174,47844,58393,97145,75429,69744,77166,62772,57120,55420,86771,62642,58590,61655,62566,49128,56637,40261,38230,37006,34400,58809,40782,50376,45059,69368,34447,51412,47253,50566,39588,46578,51118,48475,23858,35628,30365,44322,34958,27959,53303,39992,36698,20936,38925,54136,33624,40756,44735,44155,38837,46473,10,10,8,9,10,10,9,43930,49085,50114,53661,54134,56265,53644
8.93_759.62,,,,759.6181,8.928,29666,71667,40038,50748,60481,52162,33395,35222,49677,58804,54904,40134,42203,42739,37539,39542,32770,64628,69838,49770,41182,39136,46798,52450,60825,54310,52295,50531,42416,64079,50087,34286,53541,44729,61842,51617,44817,63506,49461,58048,61023,46386,43904,40879,54337,51786,44740,71568,63064,63164,60711,27229,87730,53203,16771,17510,13646,13742,15248,14733,15018,72384,61994,53065,50070,46998,46713,45285
4.39_298.13,,,,298.1304,4.392,41335,79885,45100,74773,52253,41347,36245,39137,54867,54298,96962,41093,44613,40529,38472,40866,42948,70480,59357,39792,32429,31273,43269,51986,66933,44025,43126,47775,38920,54317,47364,36274,56978,43079,52835,48403,45990,75101,45612,48584,56412,41778,43702,39524,51853,54435,38143,56811,77262,61771,55772,35487,86301,48880,24131,17276,14140,13910,13023,33481,12959,89141,61990,50450,43978,39838,38332,37088
8.13_828.69,,,,828.6948,8.134,56979,54790,85793,133093,41546,64316,63267,65107,80378,111340,140449,84846,80348,66682,63613,42917,70690,40200,8600,21629,26382,35606,33141,21420,29715,16996,16199,22669,22973,14039,17013,20467,25953,26146,13046,23549,75882,55004,54314,29681,48280,72035,48594,57588,25519,67843,49618,14953,52444,63053,29406,73759,25793,44836,286,392,148,93,376,10,378,35552,35511,40574,39810,41682,42534,42024
7.44_925.68,,,,925.6755,7.441,65359,43221,65888,53502,37876,48019,52363,47341,57216,40284,51196,61361,45380,28313,63798,52455,61917,42983,25931,53672,60888,73200,69339,60481,60215,40490,38988,45387,57347,38736,53083,58768,52529,58497,44350,66739,46358,43302,46832,27096,48262,50344,40521,47688,26463,52138,41463,21395,21476,51095,33036,50308,26866,39647,794,1254,1594,1241,1762,1539,1490,22320,51998,54130,53215,53602,54619,54770
9.09_884.71,,,,884.7128,9.09,54291,31296,52269,51930,28146,30939,39342,24608,51308,33036,41857,45158,34003,18864,46226,35357,43419,41104,21137,49489,52524,64376,68307,55018,72187,35364,34960,33619,68886,33037,49646,54346,66152,55489,39467,60273,71559,66232,64943,36384,63804,69484,44067,54773,34650,81818,47395,21466,65890,73227,38952,61503,43560,41203,758,419,593,422,757,618,997,61623,54789,49914,47734,46379,47800,48484
5.10_898.59,,,,898.5922,5.101,42973,11641,34662,18133,23442,59544,60202,58093,32192,38442,15483,81960,34263,30040,55805,77208,26751,8115,22127,71640,102060,175691,108453,25947,25919,60433,58775,46355,87733,35439,37190,82110,11706,68340,35847,44614,42133,18551,30593,24251,19498,43631,90481,90807,13844,14345,84061,15735,12735,29364,25873,103960,8860,48255,9620,10819,16508,13123,12786,12963,14237,24971,19339,39720,58373,78399,83190,87405
5.93_1286.04,,,,1286.0415,5.926,39901,25251,28827,27785,94511,50207,55691,48231,78842,39881,16832,45598,50191,25908,32137,36057,49813,64784,28527,46817,70541,69977,29242,31582,41275,59088,51963,62524,76686,27801,77759,40584,62971,43468,44524,74828,85050,39517,49926,35222,45349,56228,29664,32247,78186,56463,44718,23661,44516,39562,30038,55440,35515,77159,6,6,47,5,57,58,5,41076,49491,51975,56379,56233,57676,58288
7.80_777.59,,,,777.5928,7.805,38400,70889,42228,62571,48818,50485,38307,45785,52439,56821,78430,41650,47527,35606,40603,48088,45593,64450,50483,46362,37053,37228,44545,50246,55660,57976,51445,44920,40980,53963,49354,39225,50287,45382,50612,48003,42973,61487,50944,51539,58388,40826,49776,42558,54852,48791,42971,65390,67621,56839,51707,38439,80441,49536,21925,21097,14183,13053,14159,13486,13860,68451,58066,52048,47325,45121,43263,41706
7.55_719.60,,,,719.597,7.55,50915,34585,38491,35766,27784,24802,38113,44757,33068,30878,33286,24442,41545,48397,72152,59160,33665,32698,86356,64864,72665,68881,101230,60300,45973,67722,95465,60001,107661,72110,59857,69971,66292,81588,89868,50200,31074,40921,26404,26689,43907,30835,55608,32976,36344,22722,35217,35369,33040,27695,34913,35056,22719,35501,13,13,11,12,14,13,13,40849,46609,53878,63220,56989,54577,53183
6.76_616.57,,,,616.569,6.761,77000,96901,62964,61832,70418,82759,65790,90275,72285,61774,65467,57572,67267,87325,90680,80698,65388,72569,47425,37262,34503,34849,29972,44153,46021,49369,46693,47069,42474,39451,48982,31962,42396,40787,37147,40856,33874,26691,34781,29020,29652,34419,35364,22018,37325,30214,38454,31956,33685,28055,28360,33741,29933,38755,9,127,77,8,10,9,9,53734,52265,54081,54573,53041,53499,54578
7.24_780.59,,,,780.5926,7.238,44446,37034,47360,48314,35502,44618,28381,43537,58757,60210,37755,76406,39115,27553,42496,28916,45322,39553,21582,36863,40360,51052,46968,46189,65781,38168,27431,41525,51129,26500,44264,40219,46410,38046,27266,51591,96838,62742,54329,33919,54472,62217,69344,74170,31892,72078,59539,22062,68892,78984,36898,95904,36988,56525,5,5,4,4,5,5,5,53287,48800,48553,47470,46377,46739,46176
0.80_341.21,,,,341.2132,0.804,11661,78621,21583,56386,52734,41264,38634,19079,24849,18934,40155,26991,37592,55259,16808,32673,14482,68285,73777,70240,48392,24057,30872,44897,88942,103270,55425,44062,36505,56474,81926,32233,62796,37638,60868,50119,39024,56963,47985,72506,53424,73472,59770,38767,75723,45842,78530,152734,62641,47669,33695,11965,98192,48887,2635,1548,1910,1637,1903,2059,1033,61835,57043,54676,52956,51372,53230,49961
4.26_806.50,,,,806.4985,4.256,44816,76385,51003,58882,117556,21925,21446,25960,59896,75424,59703,57535,30049,28214,42692,22631,54010,71661,99849,66545,20466,16227,52419,74259,63617,25543,23548,85426,57125,41852,67665,25783,62660,28494,32316,59492,44843,55518,51580,81165,52732,47591,64441,53314,71532,48588,16600,33644,48442,49975,35071,17793,66771,30615,112,119,8,8,178,95,9,63131,60876,62111,30014,22298,27647,20993
8.54_952.77,,,,952.7723,8.541,92927,46852,83263,61723,22986,26245,34312,22213,93385,33075,46859,102417,33619,13205,58407,27664,83228,49933,15463,28735,30183,48337,49552,51946,62942,22242,12403,38228,45415,15912,31864,45356,62950,34140,25038,54147,132365,52257,55572,13328,42045,66898,38493,38683,17369,84572,30943,14359,68771,81823,32037,93217,33109,31253,9,191,227,167,298,9,9,54906,46474,45748,42316,30559,35923,31315
6.28_864.66,,,,864.6585,6.277,58617,64419,66277,47335,57985,95579,43826,79164,64324,101211,47635,86376,70099,33573,73726,43963,78199,49663,15583,36187,36783,58763,37318,47492,50257,30053,18939,38094,40044,23965,38480,41375,29842,33838,25100,55102,67293,41515,30535,18111,39919,40022,52123,63249,19894,39336,37732,13497,45028,54191,22822,91309,20805,60049,228,246,111,246,9,9,103,49553,48174,49972,49410,49085,50213,49277
6.79_869.65,,,,869.6534,6.785,85072,46543,90083,56135,27939,43978,35191,57539,55024,48635,39742,94881,42643,30391,92962,51909,54288,29161,20760,42853,59967,77657,75014,66400,50843,31594,35102,58023,70453,31443,42663,59918,56962,54878,34000,56469,58728,35415,28287,16667,29013,37973,55928,55919,15446,30082,36594,10606,29454,38655,20810,60659,13258,43507,4771,5975,4006,3698,4756,1589,3466,41611,45940,49700,56313,51642,51547,48621
4.71_491.36,,,,491.3596,4.705,43244,84470,50136,76948,59393,31392,16771,25777,62664,58231,97689,43027,28260,20976,31653,30453,46663,77068,66284,43403,23342,37345,48549,56775,71097,36007,33521,52488,45020,58504,54161,21775,63301,33643,40056,57005,52608,79885,50811,52446,62907,48281,31632,29507,53669,62142,28724,63432,83184,68914,57602,27012,94915,36180,21885,17825,13011,12558,12266,11418,12111,87915,67475,55681,49413,29042,27701,26227
6.23_674.57,,,,674.5744,6.234,84589,111660,62328,60069,75940,112241,67295,90384,69960,81167,74771,47387,86030,77423,79122,82565,80443,79986,61562,36714,32232,32172,24435,39187,43818,47548,47029,36886,37218,50467,44011,29546,31827,37807,43683,40312,23671,20171,26655,30817,29546,24923,29598,18416,34989,23686,25449,42309,34005,20715,30342,28093,38249,34764,147,377,441,8,218,9,266,55437,51538,51583,49775,50871,51260,50265
6.52_856.65,,,,856.6522,6.516,72858,68415,79655,59191,24940,60369,29965,45390,65965,40895,43940,81628,42727,28071,59609,58839,44788,33583,24549,49387,63302,68844,69905,46146,60165,41949,48101,28371,74770,41569,41839,54619,52376,59628,39581,50254,46357,30906,42449,23355,43396,51971,44432,41404,21542,49521,47323,16605,41544,54360,28143,53848,22856,29921,5522,4387,4750,4898,4132,3450,3390,49441,50768,49594,53429,51552,52902,53791
5.86_900.60,,,,900.5959,5.857,36724,58939,39293,52708,49269,48852,34616,41995,49208,51088,66379,40383,46493,41683,37881,46710,40855,54265,63711,44738,39027,41240,47804,45875,51206,56215,50908,49622,45844,62306,45687,39214,47629,49247,59503,47394,41033,52549,47621,56955,53352,40416,49291,44928,47631,46404,44838,70931,63774,58777,59776,42824,75237,55584,66426,71286,67129,69711,78461,77524,76278,61762,52403,49577,46965,43991,44224,42076
9.00_1010.82,,,,1010.8154,8.998,58889,37483,68329,42394,26250,46925,11848,7636,45866,37391,42520,48180,33256,26200,57948,37758,37799,40904,22225,55547,78865,24840,98056,74953,81450,7003,11851,50719,79601,44495,61146,68341,74676,85404,44737,85241,87856,50033,43963,29530,50072,78828,52703,8718,29560,62981,9205,7,54922,59701,39875,39968,26545,45042,117,200,141,4,184,217,261,54076,55383,56661,55640,53989,57788,53720
1.93_607.47,,,,607.4744,1.932,48999,46923,49418,54008,84675,28502,79368,39122,40332,50366,40612,38105,26184,75577,22715,19631,69950,70501,56438,45932,129227,38563,24594,61104,73478,45901,45836,71461,25829,62609,91242,59316,46796,32603,31747,31153,47064,49706,35551,73177,32256,76385,34857,24796,53507,40855,35528,67034,40136,19777,18781,12146,58180,16951,739,700,748,746,835,643,708,50871,46202,45925,45535,48047,51623,55325
8.98_717.57,,,,717.5718,8.981,34777,67394,40951,53164,58250,48998,34363,35023,47667,54272,61889,39516,40891,39110,35535,38260,33704,62224,65717,46461,39345,37078,45957,47514,58167,54356,50145,50232,42374,59401,49138,34879,51322,43461,59958,48775,44395,61921,52430,54051,59663,43986,44338,41248,51499,49756,42443,72665,65942,59905,56921,31625,84862,47476,18444,17743,14616,14622,16630,15443,16173,73111,59088,53336,47936,43431,43401,41813
6.63_604.51,,,,604.5088,6.627,37085,63986,31666,49903,55077,39636,46111,58993,45465,43972,48250,30087,47565,64887,34513,38735,47851,67002,84992,46884,38111,30373,24585,37510,48933,63004,70982,68719,38902,51840,62136,33345,47725,34577,63118,43301,37103,51341,50960,65776,51611,43566,33091,34111,94481,44790,46642,72607,63623,31414,52011,31935,80230,53315,2768,2763,2639,2422,3067,3074,3385,61370,53525,51368,50077,48337,46852,44813
8.33_698.61,,,,698.6101,8.331,51755,36708,34986,34641,38869,46085,46406,51225,47523,37731,39896,52161,40409,45894,58466,47579,42337,37395,41694,40730,40541,54786,47412,46687,47224,38039,43510,52140,67246,33692,47215,53189,52605,50864,46656,47130,57745,43987,34741,43847,42896,56585,55485,56229,66842,49505,65884,26935,48823,45209,45305,69259,42162,66832,6397,4977,3397,3996,4068,3888,3585,43006,44710,47512,51043,49588,50185,48269
7.69_819.64,,,,819.6394,7.691,45923,52528,48296,60707,40614,39688,36695,36475,51149,45180,60327,46852,40671,31828,42941,38108,43106,48744,41042,47637,43444,47104,50797,54429,66492,53018,41909,43899,49667,39731,48373,44746,56879,47942,44803,54748,53095,61798,54216,37113,53833,48930,45832,46151,35199,56840,45586,63169,61453,60503,40602,45610,56220,43909,16997,15545,12085,11939,13524,13035,12989,62193,54256,49702,46997,46284,43797,43297
7.03_820.58,,,,820.5817,7.03,50175,49077,46168,55032,25800,51397,42167,34246,44739,46985,87811,40589,35516,25203,36361,36178,43861,49981,27799,42782,40840,45833,53337,65037,69959,34609,41385,50211,42942,45904,60785,51960,66216,49232,52526,69916,55068,66907,45106,37266,54673,42273,52483,49811,32063,54539,39912,16286,65546,61127,45979,51584,34419,54184,10,10,8,9,261,10,264,72873,57869,50374,47346,43483,41706,40416
4.96_856.52,,,,856.5158,4.958,39740,90315,46521,64188,59038,43724,44897,49354,46706,57874,84348,36060,53995,57929,37665,37147,49873,88254,55153,37091,30581,25939,27637,51621,67708,39674,40483,43795,29139,57621,53471,35452,47946,34445,45548,46198,40873,69227,40039,59904,46693,31440,40216,36451,54606,56869,32637,64211,60431,45608,61588,29839,92356,42360,9,343,139,149,206,9,177,100637,51963,39842,37388,36609,37239,36955
6.52_779.58,,,,779.5793,6.521,42289,39216,37810,59124,44670,40493,46521,46491,46637,48113,44655,48311,39630,35480,39862,37322,35544,48985,51113,53170,51050,45646,65951,53545,65763,46672,55484,54118,53854,53154,52257,53460,56260,56227,49028,60110,47873,53525,44635,50671,50388,44649,50206,51625,48389,45300,44388,46615,36889,44080,42033,36167,36774,45223,6491,4752,8144,1729,7082,7195,7022,51564,51738,50226,49916,48878,48217,48501
7.06_843.62,,,,843.6216,7.061,57642,44347,51915,47552,23072,53884,47338,34915,44794,37710,67314,45340,34110,22485,44580,39973,44751,40675,23415,47863,50715,60658,58274,64130,62445,38532,39993,43877,50495,34026,56441,59363,62484,53507,45149,70080,58623,56315,47907,28597,50897,47151,49907,50866,28837,52899,45286,15159,53142,56077,35285,64019,28342,50876,4,4,3,3,4,4,4,56268,52774,51740,50248,49121,50738,48518
7.98_1013.78,,,,1013.7765,7.983,45483,16101,33191,28548,13720,28653,223976,61100,34995,15670,24342,47706,48125,26537,48696,53346,30206,29212,9374,40852,73203,133364,60221,32977,49389,39762,34692,19046,68177,18632,25465,56414,60620,63490,19490,38779,111600,38122,25985,14905,26673,37283,41497,60864,9581,66627,128098,1966,44277,38768,16204,50092,18318,21713,1344,1414,204,317,1201,855,317,36187,28195,29520,32326,60393,47430,62668
4.98_358.15,,,,358.1516,4.979,40353,74769,42492,68878,49662,40504,32734,36997,51390,51292,89253,38846,43794,39187,37453,39104,42649,68129,58457,39494,31990,30658,41741,51422,64778,41244,41293,49359,38866,53566,44129,35398,54623,41641,49761,48242,43769,70400,45339,47749,54922,40773,42165,38524,48413,53945,37768,55572,73200,58595,54179,34377,85791,46912,25653,19972,13868,13417,14064,12791,12873,82819,57888,48251,42946,36699,35864,35035
11.21_244.07,,,,244.065,11.214,20753,36531,31521,28998,52947,40558,21702,22008,39260,63871,31719,26939,35488,43832,34638,43207,29551,39527,178864,81985,54094,29950,47439,35575,35700,74757,50767,45215,34674,60275,43462,32606,41235,85085,170892,37632,30558,38247,83048,43858,52900,42178,31535,26220,69533,36664,31792,100208,30748,55147,76547,23728,76010,56315,38346,36509,33891,34140,44425,39810,39962,36644,35558,70513,61903,38270,72316,72777
6.01_807.60,,,,807.597,6.009,47271,96359,42253,52294,71482,84590,60183,72918,61681,86317,61483,50875,71300,77209,46548,55329,68836,66019,62320,34188,25993,22868,21850,42225,36564,45004,31486,43053,25203,45697,40974,36438,28196,32796,45455,37254,26587,39459,30149,52768,42381,25208,51423,42387,50236,26890,34095,79194,45158,46698,53114,40964,65431,57004,10,922,522,792,737,1182,775,54959,49573,47233,46724,44861,45739,44620
4.79_789.51,,,,789.5089,4.785,42038,49277,42627,35890,63039,54631,63365,64014,35503,56338,23583,38207,64981,75832,45549,53168,55119,53241,68741,45987,46261,28712,31550,39952,27855,53406,33671,58987,35558,72472,48389,52066,33259,46063,57863,34818,28257,32518,42051,73244,41210,32194,55487,49640,69834,30862,45281,79050,28144,36815,86136,40888,53711,60267,10,10,8,495,10,10,9,19619,38817,46001,48827,25561,50802,27805
2.74_613.53,,,,613.5255,2.74,42846,38766,52792,52145,39354,24552,47973,29038,30609,25263,42267,42665,33505,50227,29650,31003,34939,34573,77362,71429,57953,40043,39178,51474,66317,56922,69259,53100,41552,54154,75282,39276,77108,42342,62553,58226,50126,56348,63814,52936,59144,67453,28384,29389,60294,55680,53726,39519,51611,36314,29722,19578,65876,26036,28427,23916,27401,24560,24141,24113,23967,64198,55338,51242,47443,45385,45541,44468
5.06_805.54,,,,805.5402,5.058,12573,35060,5469,29199,17113,9197,9862,13662,5607,10925,882525,10916,7167,10976,6288,16356,6145,24904,23625,20206,11258,9513,11308,52053,32185,38615,17368,12793,11390,23928,22091,14227,26975,10562,17854,14660,185841,182820,16222,15868,14723,34036,13290,10266,17038,33872,16024,43260,666000,16314,9897,8388,63110,15181,6,6,1239,679,850,685,740,163255,33392,20072,18992,16093,16517,13457
5.14_849.55,,,,849.5507,5.138,134918,162783,140615,135637,47968,38740,50217,75571,140254,81380,129348,119448,27138,74105,95792,35131,67437,93330,8940,9410,16643,13369,9834,115751,53516,8042,5883,45134,16962,6639,12668,10437,52003,11543,8024,47738,23275,19397,8110,6552,8812,11139,52925,14309,7029,11844,11768,6551,38298,79865,12874,63528,21449,17520,1379,1230,1004,1066,2402,226,689,80925,61776,39598,14358,23937,12136,17597
7.04_1524.22,,,,1524.2202,7.038,73582,24502,96335,40158,10522,32228,27620,22432,56944,27188,21108,118682,23368,6498,65449,35674,46595,23883,5064,48570,70563,105724,90629,66397,68522,21700,22365,17378,87094,16586,42741,71814,61778,53510,19521,74034,75431,28765,32361,8387,32162,68413,40565,51772,7322,63634,44095,577,37417,61668,13588,85092,4678,20811,120,9,7,8,9,9,114,35297,43650,46873,50130,49548,51194,52295
4.05_906.53,,,,906.5297,4.046,43404,61598,43143,52852,62850,18860,56247,22021,45676,53804,54309,37442,55928,24795,38340,17465,52281,59357,75809,50888,18656,16496,40402,55587,53140,22584,24386,64996,46985,63681,46683,49108,42233,47630,57011,40038,42314,70015,51080,80443,59777,47660,74905,65003,80868,54072,27788,33477,50365,47264,64338,18500,61939,54905,93,4,3,3,4,113,3,57354,54327,53368,53340,26347,53260,21605
5.77_710.51,,,,710.5145,5.767,71144,64524,83668,80348,42391,65258,74646,70961,60078,63623,71635,47553,55534,63488,66557,65504,72338,62973,29709,32990,39471,48879,30736,61956,51260,27971,42222,42127,39159,35122,38434,36782,49195,35797,33673,39606,33942,50192,32068,27677,34349,26528,38637,40083,30794,32784,30223,23648,37660,35881,36865,39602,28167,36653,7,8,6,7,8,7,7,57890,52055,48980,48190,50657,52013,52220
5.20_902.60,,,,902.6042,5.197,55750,45944,64062,51091,39090,21489,17486,16083,78366,67062,32599,137545,19180,14823,48696,15634,62325,32038,17416,24741,16234,30424,54126,58110,49514,16217,11124,114218,49849,33346,69357,33563,68967,26627,26354,82314,139054,60346,60014,15732,34401,70323,42854,33427,21464,55375,18505,5934,61477,103449,36376,41231,22622,32943,11,11,9,254,11,11,11,40259,60615,63703,33637,22435,28595,22375
1.37_528.27,,,,528.2741,1.369,39859,56575,34480,52506,50211,44603,26897,38262,61735,40681,33417,38289,19367,25003,44948,62210,29737,38762,41875,53175,55305,59776,75896,43539,65606,66112,63744,31056,32422,60851,46093,65115,51366,52454,36873,53069,47555,52325,39697,34183,33682,49088,32362,39167,42220,58347,71436,68098,69770,42787,33873,33692,62323,41330,7488,5736,5383,6031,10188,10586,11345,53179,47848,47040,46658,46437,46558,46484
5.68_792.56,,,,792.5648,5.683,40653,114588,48525,79287,91381,76850,53577,105330,73436,89242,67246,33506,72082,92903,41908,54813,53135,68638,77412,27268,27083,18849,21527,54994,42820,51525,48785,61101,28572,54079,33877,30085,21055,33454,54248,28208,20453,26865,24536,58813,29936,21303,44230,37949,42239,24655,28842,59248,40723,36736,39063,32336,38817,41160,454,1020,468,421,697,334,711,44422,54542,62073,56420,41866,54355,50268
7.69_838.60,,,,838.5958,7.692,47164,34087,54311,37433,16427,21845,27703,21763,41736,28035,34818,44172,29582,18236,42300,31626,32505,35054,23118,56223,66926,70839,69371,55117,70675,40134,44082,31187,74570,35192,48220,70096,66346,72268,44874,56231,60675,50608,56768,30030,52348,70890,43027,50246,27964,73494,57713,15616,54349,64638,35063,56883,28384,35059,144,10,8,271,10,253,242,50099,48934,50168,49791,50493,48700,48385
1.71_425.22,,,,425.2172,1.71,37284,51506,46177,47631,61016,37513,55321,52726,37069,50329,44169,43307,55143,57662,52702,44377,44516,41971,65098,49889,46723,36327,25897,54207,42137,59518,44648,60086,32254,56026,52854,42919,47802,50390,56875,35719,34414,43284,46849,66251,45811,43040,53925,38748,60076,32665,53400,78033,46684,36092,29052,33062,67254,47956,458,445,584,570,530,339,575,47648,45191,51295,53609,50488,49900,42920
5.28_728.56,,,,728.5606,5.282,58045,22785,51899,27010,19455,23041,34651,18040,44780,22308,24967,55091,33069,15921,38909,33054,36742,22434,20941,71793,79798,108991,106638,67715,69004,38743,40403,25836,98042,36247,52430,82063,66362,79779,42677,71164,59280,24587,41011,20430,38457,59872,40248,43139,17974,52564,45004,9612,37348,45281,28969,58845,14591,29203,997,1252,2045,854,322,440,1704,34457,46057,51069,52519,51232,50684,49302
4.70_298.13,,,,298.1305,4.703,38406,77988,45533,73504,50187,35886,22931,31300,53201,51982,83835,39062,41261,37295,36028,37782,40981,68636,56381,39342,26183,32742,45243,52738,64116,39401,40456,47545,38249,52719,46567,34011,56641,40593,49537,49034,46432,73557,46799,45416,56022,42480,40719,37915,46529,55994,36081,53134,67373,58195,49429,29823,86680,46076,25140,19260,14103,13169,14112,12852,12735,82699,61827,49251,41747,37975,35331,28645
8.24_1015.79,,,,1015.7918,8.241,77579,27295,58693,56148,29804,29504,47197,29724,53115,28491,39669,71912,30648,17215,47203,32877,44781,28796,18522,52559,58097,86464,85835,49230,60596,41217,31946,23998,85276,24712,39366,69964,63592,60362,30371,53212,80631,26867,59236,14768,36312,69592,40882,43213,15601,48189,45792,22476,39386,52516,20968,62337,19446,26930,757,1913,2039,1865,1833,1976,2035,30733,42816,41817,43587,43302,43790,43183
7.84_937.74,,,,937.7429,7.841,88352,43050,77966,62347,27424,33993,40445,25072,78767,37403,56920,72651,38818,16210,49343,34785,89707,46986,8978,27019,35407,54075,53648,38463,47906,7996,19359,25863,55251,16416,25312,42651,49569,37397,17176,35694,94699,50010,42183,18780,43203,87724,54391,60551,20646,82404,58221,7054,69217,70189,28340,67070,17405,33193,9,351,392,339,9,9,8,50933,50164,47213,44859,41579,39520,38098
6.82_796.59,,,,796.5886,6.816,62620,60388,66403,64540,34369,48262,43451,45170,53339,46569,67365,58893,44013,35034,59488,46220,46452,48408,36879,33417,35891,48413,45679,43869,48863,38400,35228,44189,40355,40043,45009,41607,47088,40781,41343,51240,44974,52112,43402,40157,45164,45664,47001,48167,34780,47348,41965,34679,59079,55978,42407,54091,47541,40471,16180,16205,13189,11481,11990,11636,11515,59198,50394,47777,45862,44207,43900,42008
