,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.86_774.54,,,,774.5441,5.859,10357,12588,12564,16999,30714,15244,13726,24524,43390,10632,41436,78049,12464,13700,8062,10301,12999,13319,35424,88407,31047,52951,30223,36836,40825,36300,42591,51117,75016,99476,45507,39604,39796,23596,41021,22569,85082,76281,66315,125190,86919,54887,44814,47390,102045,37743,97349,44625,20228,19952,21923,21416,32975,19906,3643,1069,1380,1579,3047,3332,3349,29087,19020,50785,58287,74286,80123,78525
6.92_678.56,,,,678.5611,6.924,43476,96645,41857,44389,62084,64179,52951,69451,37664,108140,55862,77660,35222,66446,55827,53098,35830,64439,68825,60761,37826,34218,17355,28412,34334,75494,27379,38434,30086,37240,43123,42383,18636,38520,35113,34782,18286,18579,17374,27328,21099,23554,12700,25352,22518,18188,15478,24335,32096,28136,32959,33728,28331,40653,910,644,319,770,716,1389,637,47737,29858,35129,37406,46064,47778,48531
4.64_864.57,,,,864.5657,4.642,67336,34115,57080,7199,61980,75893,74809,52644,56647,5221,39817,38180,56071,33156,15,14,7549,1171,53537,32174,40188,48363,31068,62799,50386,37905,3180,3447,45333,48997,40230,56330,23658,43218,52468,94154,53258,56547,66676,64269,59882,45193,45442,60486,43423,66187,58637,54352,65649,41090,21019,70156,46970,46578,1120,1059,1112,1146,1672,1043,700,41956,49568,48780,49039,44390,41627,41723
7.22_858.67,,,,858.6691,7.221,19467,21802,25466,24936,30274,32068,21858,21542,43804,16976,33474,23594,24563,31658,17614,25830,36503,42779,31538,50258,50022,41994,48869,45761,52179,49597,62754,76882,57146,59280,62615,78832,65342,78158,71663,60737,45943,49567,46214,45084,45645,41030,33116,37503,37907,40569,35395,32649,48468,38511,44588,38399,46473,63035,3701,2510,2224,3407,3586,3344,4095,42667,43114,42666,42481,43733,44736,44930
10.52_184.04,,,,184.044,10.521,97578,45298,27405,47434,22689,30021,64447,33168,34150,53251,40714,33640,106961,43529,42036,139079,32781,24337,73875,18495,27174,38396,32222,28041,25780,35835,88313,72284,41358,29532,68674,32658,29798,103752,96465,41823,20996,26016,27846,61779,23911,29139,19806,37794,39630,29591,52758,33612,28028,33614,28608,45991,52944,66815,31234,16386,37471,22209,24597,28062,27993,77402,27204,28966,42711,54776,44546,37795
5.09_746.51,,,,746.5139,5.094,9567,11465,12781,23399,42569,10856,13760,41910,14251,28101,47756,68748,10062,56029,9730,20864,30316,70588,52401,47539,40525,39290,10114,25838,20138,55538,22440,20414,38733,63353,61352,33194,52230,50910,28391,8485,70161,50814,42849,80855,33385,23811,22986,11,59663,52743,58600,15005,54433,54202,72030,54586,74440,67012,604,10,18,9,258,228,259,51571,10763,32997,43048,54008,56725,55991
4.18_393.29,,,,393.2855,4.177,55401,23176,96422,55447,53286,151996,36499,24103,125068,16145,18198,13420,50466,11466,83794,41929,75557,10915,11477,10523,18941,23706,128497,45884,98250,13342,45106,47630,44875,21123,17929,55347,38060,20709,33953,138369,47596,48993,85994,17283,36912,18006,135605,23856,13270,65849,33544,195878,25894,19161,12133,18213,20786,17055,10619,33131,38149,16456,11568,10095,9345,17797,212199,63538,38491,19220,16072,15754
5.21_816.56,,,,816.5565,5.208,129566,93708,48523,54190,8007,61102,46449,33989,47148,32291,36545,24760,312162,31901,264544,191643,219149,22032,14908,12493,15720,39321,26931,26480,31713,19787,32137,70519,28765,21786,20868,41192,42012,19970,50896,77184,25850,28404,28577,20864,39634,34019,43664,31783,17881,25699,33473,20427,35746,39743,23140,28385,31898,27958,8,10,19,10,9,8,8,33769,56547,49619,43010,41959,36400,35381
7.69_706.64,,,,706.6368,7.694,51436,155624,132030,116175,74347,108864,98046,78583,52628,124902,46785,86927,33365,51181,96701,94999,20808,34178,17609,9471,7373,10485,12516,20841,16937,27869,8819,28093,8808,9712,34642,40660,12686,26118,17569,41493,18830,13714,12126,17069,12727,10970,11445,20085,18633,17465,12112,22500,117409,68813,45855,63759,24546,65513,735,1046,1262,715,626,748,651,43877,56578,54378,51020,46120,42035,41200
5.73_778.54,,,,778.5416,5.729,15451,37403,17855,21340,82858,30321,25947,37010,34819,51017,41228,75613,18435,85290,20792,25208,43524,90940,48222,66001,30638,25927,12227,15958,16178,49672,16249,11455,28509,38938,48846,27683,42407,62122,24462,18019,24452,26623,19342,44066,42788,63258,15007,43465,36721,24242,32000,11474,57679,41718,55468,67297,58900,59075,8,11,19,10,9,8,8,52954,18024,24203,30238,49421,55067,55628
5.53_869.61,,,,869.6092,5.526,29719,29540,28578,42524,52088,40309,45299,40807,40392,27348,28959,22027,29243,36820,28762,29293,36649,27272,45237,35412,40585,30796,25404,38345,43961,44313,31751,45397,49441,51283,45209,65968,30794,44515,62340,92919,37148,47561,62623,47806,63271,42874,39043,62061,31860,64448,63192,44896,66709,36316,33496,62935,44463,51946,8218,10049,20719,19407,7106,8231,9024,37410,51010,45211,44129,40664,40628,39636
4.63_810.51,,,,810.51,4.633,17108,33768,22878,27317,50518,23828,19560,34777,31695,51644,59647,83579,30809,78798,25519,42597,44698,121109,32547,42211,29614,37672,20193,29033,33974,41302,20627,34691,27998,48140,44583,40905,35433,53209,37862,40580,27521,24668,28766,40688,28849,36568,19406,27664,44994,24890,22074,25543,36917,31965,56878,56576,49277,71710,279,400,252,359,242,135,194,46003,28063,29503,31258,39096,47891,48135
4.42_871.54,,,,871.5359,4.422,34361,57076,27869,36461,78408,85433,44540,49887,92234,46269,38597,74765,63676,110104,23753,31531,79062,57442,30531,24034,17477,30019,6737,27729,27859,28426,8132,34625,22619,35357,43194,30594,24190,39552,32489,29495,30605,24692,27042,45522,33610,48067,27457,59744,27578,26361,32855,25687,71977,34021,53692,64313,48360,48702,124,450,476,336,398,194,205,39433,28328,32328,37786,44967,48639,49987
7.35_702.62,,,,702.6157,7.346,40686,38974,52590,52385,40947,34599,29588,43708,58520,45194,75079,47820,30153,53275,37552,34916,35907,69835,56530,68483,64988,59863,67164,65401,58323,61148,68733,36701,49855,54837,29552,27302,23440,37605,35721,17413,22261,23617,22939,32068,23933,27290,20281,14975,30271,26657,23187,16685,18100,18954,32892,29464,22591,22086,80,10,224,9,9,8,211,55948,35707,41648,39587,42810,58713,59290
8.24_696.61,,,,696.6072,8.241,58945,81994,29103,68508,60572,83668,51020,63117,75521,39224,107951,39327,61259,83352,53871,40772,53452,109685,55142,88504,48200,56691,23515,31581,28974,63426,44032,37750,33217,31737,76049,23813,31969,56511,45752,23499,5088,12666,8820,13809,10787,9698,7570,7414,10925,7893,8106,8241,20136,14632,16896,30547,16017,20757,4995,2827,3216,3815,4736,4806,4962,37143,22762,28814,24483,33369,43256,40641
5.27_792.55,,,,792.5548,5.267,39220,42845,31621,39218,58900,37965,42117,30413,40805,32439,29710,33992,50020,35741,40615,39715,43709,34178,34512,34274,31956,37413,30980,31871,39243,35320,38310,56560,43155,47092,38069,45813,40555,46216,52185,58487,46585,52238,57119,52822,54930,52096,42990,55108,38670,55388,54965,46031,52973,39923,37351,44499,52089,43502,9368,10120,10341,8554,9139,10090,9227,39730,46615,43672,42749,42268,41899,41217
7.32_702.61,,,,702.6086,7.319,40686,38974,53330,52385,40947,34599,29588,43708,58520,45194,75079,47820,30153,53275,37552,34916,35907,69835,56530,68483,64988,59863,67941,65401,58323,61148,68733,36701,49855,54837,29552,27302,23440,37605,35721,17413,22261,23617,22939,32068,23933,27290,21474,14975,30271,26657,23187,16685,18100,18954,32892,29464,10218,22086,132,162,325,9,9,221,225,55948,35707,41648,39587,42810,58713,59290
11.17_333.26,,,,333.2639,11.172,78131,29095,64262,53957,40505,87106,49065,25331,94174,21651,19737,16527,64366,14499,64575,56231,51038,12255,17443,11922,22705,32292,118225,37642,64811,19113,68891,58976,52574,29759,25552,43758,35407,24570,40918,126312,46490,50915,85327,21670,58259,26349,98373,34816,17128,69434,44948,137692,30840,27684,14829,21784,27867,19441,17505,92246,91875,34072,22050,17619,19083,21132,132999,59198,42756,28245,18580,18609
8.19_777.59,,,,777.5937,8.189,43995,30428,37474,29413,26258,28564,66160,51576,45680,30364,39919,30664,85066,31011,34988,63145,27677,28778,30694,30950,24490,49754,23739,39754,29268,37813,35234,159496,34464,45130,48658,52107,56748,56181,100559,80458,32795,53036,42775,57204,41340,51346,25527,47351,44690,40068,45686,32367,51061,50424,38773,54649,47187,52454,12772,6801,14550,9241,10718,11318,11058,49133,30316,45412,42052,47392,52078,51304
1.58_480.31,,,,480.3111,1.582,42277,40387,45473,42612,27065,45745,34737,35036,34240,43889,33245,31598,37841,21183,25449,25261,19339,34779,50332,45624,54260,41613,131832,49683,38825,34133,51914,66725,47925,48306,31360,36217,24239,30324,25712,36406,39833,47694,46182,42559,32240,42042,49694,37043,63005,57455,50443,55517,19331,46624,40379,26728,26415,14014,202010,213277,178459,191392,201780,203792,200683,38806,48819,43247,41897,40125,38324,37051
8.33_698.61,,,,698.6101,8.331,34524,67298,32904,40314,53667,42865,40559,47261,35970,62665,65419,54877,36157,72130,42357,33942,30842,74349,57825,66435,43112,43418,18689,34178,37904,74297,27450,44768,31215,39430,59071,55403,37941,53916,58861,46182,17637,22688,18824,28952,21950,23751,12318,24028,25326,22467,18991,16456,30143,25954,35341,34080,31996,37736,2670,1383,1594,2296,2915,4025,7375,48193,30786,34193,37454,45607,48450,48992
5.43_832.55,,,,832.5511,5.431,45845,48909,33180,35391,26210,39387,95093,53043,53231,27438,42065,46187,160476,51334,56969,56608,34629,62939,36196,40308,29369,45132,15801,27775,27180,50565,26928,138574,40831,47413,59670,55355,42274,52268,90662,59834,21018,31976,32979,48430,32191,39295,20341,39084,24798,29355,38394,26168,42265,27927,35635,42941,41401,36089,22918,20899,18457,24246,18886,32122,47180,40690,26289,32649,36924,43189,48625,48808
7.17_862.64,,,,862.6393,7.174,12211,25824,18221,16322,44129,21741,29456,24276,34454,25955,23812,32196,20363,38858,17033,24309,23667,55153,27648,51624,36756,21942,25615,29268,29036,44187,29391,58596,40687,44062,60579,61082,56567,80496,58572,39294,43311,48912,36966,59170,49607,48740,23556,54858,40726,33013,29731,22019,79969,46376,62509,46916,61568,105430,2351,1413,1315,1670,1979,2318,2335,42722,29460,32790,34885,41908,48234,47405
5.43_826.55,,,,826.5539,5.426,22876,23443,32342,35304,38569,38109,43209,37890,55659,23981,27520,24182,37689,26775,28570,28671,37321,28398,23689,18026,28172,45147,34021,55066,38042,29423,35505,137905,33211,27652,48613,61615,63348,36013,52249,120821,49410,67946,67697,38579,72810,44684,58346,52703,41337,56820,56812,63596,52311,46071,37972,40070,52033,41348,5,7,281,7,6,6,6,34408,66218,51418,45461,41442,36446,35896
4.91_762.50,,,,762.5046,4.911,19964,29405,24186,26878,44072,30712,26233,36123,34002,18812,42427,48780,30858,46792,24282,24894,22355,66541,40777,46337,34058,39286,20716,28412,26886,39575,14714,36032,31017,52073,52125,40027,34443,66204,53056,32608,26554,30846,30874,70693,33715,50082,21949,32501,48378,29205,32036,20457,67064,55257,70581,93986,65489,63484,2520,1322,2273,1945,2656,2873,2881,44146,28176,26184,30890,45325,55548,55425
4.71_491.36,,,,491.3596,4.705,57373,46861,51313,49071,42366,52633,97031,56750,70574,28160,44531,21509,108493,21199,68432,63727,39930,17799,25194,22194,29377,50194,27919,41685,35771,28806,42831,96459,39729,35904,38928,52872,48571,47584,83165,87959,34063,50964,53787,39225,46827,37091,37579,50279,31663,44729,48538,45621,40966,41215,26694,43287,41028,36159,9514,4411,10596,7683,8251,7820,7443,44402,42020,48059,44736,42780,35764,36356
5.46_775.55,,,,775.5519,5.458,27184,42473,23224,25818,46125,10373,403,22604,284,29981,38025,50728,509,50869,27848,33751,65493,56726,28333,43772,39974,36829,27585,37440,40167,35656,26939,601,51665,39645,53777,55030,124303,75339,48319,33138,50565,51025,41672,40212,51335,38801,46158,35437,33448,45575,39036,18567,40015,30841,42277,33469,35287,56089,134,178,324,168,160,142,141,43393,28054,53819,52759,45856,40384,33689
6.25_675.52,,,,675.5222,6.247,84492,35486,39724,54604,26883,32696,22873,15036,17446,30705,14980,37281,18314,14628,14873,51377,26356,17420,114161,89685,72720,26338,63314,40631,61718,43406,76252,15322,107327,41090,23191,22700,19351,22639,17584,24431,42011,18160,23191,36040,17539,23627,35856,25233,55354,36333,30579,101036,27981,38468,33729,26928,22306,19940,3561,3578,11535,3524,3927,3880,3699,34214,45851,42197,40166,38061,37928,36966
7.74_819.64,,,,819.6398,7.744,78062,58137,63093,64280,54029,70393,140174,74989,90795,39112,59348,35183,193145,37203,86709,82256,51647,36290,25400,18096,16467,30647,21115,26289,21242,24931,23687,80852,27819,28384,47716,43895,42068,52088,73191,50843,29708,28113,27344,38234,29607,27881,19432,39898,29130,26038,28183,23659,37956,40825,30577,44636,36293,46902,9934,6555,14265,8283,9304,9306,9774,60442,47879,57816,57507,58130,56816,55165
2.54_247.17,,,,247.171,2.54,18994,19723,244333,193885,17245,63636,462969,91824,264227,44189,90023,30927,832034,55799,107762,342477,20717,11156,8932,13277,8158,121576,40412,20669,18367,68395,24152,3165,2469,848,910,1104,958,1104,1914,1587,514,582,1039,624,624,763,886,1002,630,680,1091,1705,700,626,611,557,753,561,616,501,1210,889,662,520,657,46440,41594,39495,39939,42068,46766,48298
5.03_712.49,,,,712.4935,5.03,45091,62192,31591,54633,48321,56879,45624,56547,28726,44031,52205,36269,22672,30432,24446,27971,43706,16171,63871,49879,38809,36101,16277,45083,49661,42322,21929,17113,36078,49108,29488,31822,14578,27693,25939,16731,51492,32145,42043,82391,47460,41788,22493,45849,29253,58621,42842,24831,58929,36956,32530,65181,36206,51262,1367,925,1549,1173,1320,1523,1408,41553,24974,40454,43247,44805,44112,43395
6.45_769.62,,,,769.6235,6.447,31002,32375,39304,32491,35000,40535,43723,43558,65830,25825,40144,36341,48915,31119,49472,38756,44456,39110,26489,25386,29669,47778,36611,47451,52470,25421,36329,63578,51150,53405,39059,43255,56666,41177,42095,51523,50963,43116,54558,41430,53780,50100,46651,35549,37020,49126,46666,48864,39490,34034,34140,37575,51811,30380,4991,5400,5351,5070,5475,5208,5294,37191,49325,44630,43436,39963,38668,39444
7.03_727.55,,,,727.5535,7.029,128249,90957,104039,46264,35472,47426,45291,41006,30072,81522,31394,52894,53669,36423,64473,89137,52402,59790,30683,30540,25099,14388,47037,16713,33567,33016,39644,22918,45260,24876,39489,23374,23882,24278,18226,30713,49969,30688,20688,25438,24713,27812,52395,31142,41305,31675,31492,70259,18459,29989,32324,31759,24851,20414,203,254,287,133,60,227,134,33752,46975,41335,39490,36865,33554,34216
8.50_777.59,,,,777.5931,8.497,69293,49150,50934,50512,34452,44915,90827,61805,55623,41677,57936,37878,127027,40731,64902,87533,44598,35710,32071,28041,23032,36244,26402,29698,23727,37137,51160,73322,35938,27020,45135,34090,31734,47207,62609,37315,22898,30273,29867,42391,26190,28308,18138,39607,37942,35184,45214,31532,37048,47442,35642,51153,37469,51711,29207,14502,21360,22410,26178,29967,30716,52312,28622,37619,40572,44386,43886,44506
4.92_491.36,,,,491.36,4.92,66890,50090,54933,53182,40205,55373,103995,58826,76544,34483,39688,19666,152918,21592,74051,66098,41067,20593,14989,23457,25056,49968,29851,45137,33017,26687,46551,110506,37669,28796,34794,49218,46202,44907,94327,99590,28803,48308,49023,42076,40412,31805,39795,44565,29232,37448,42596,47926,35667,37211,22905,37034,39488,31254,19557,7220,15810,13527,15061,14775,14351,38742,47522,50370,49107,41265,34857,39553
9.23_759.62,,,,759.6187,9.232,62030,47563,46765,47897,40913,41900,75237,42587,54312,32676,42405,29938,149606,33981,67942,65145,42687,28554,29223,23130,27522,40691,29545,38067,32253,33988,43962,58661,40777,30755,44978,41405,37399,52930,77516,36743,31249,27692,37291,50601,33065,33296,23553,50841,38313,35875,49858,46121,38380,44397,36473,41687,47256,49393,14318,6624,16182,10452,11693,11819,12341,48360,39221,47735,45138,50164,44044,44335
8.52_659.54,,,,659.5403,8.516,14838,7479,7765,5502,8805,6153,26077,11752,12855,6030,7101,44115,76217,17859,31977,26385,5729,35988,54161,68995,34914,8566,23273,8350,22538,90853,77249,128526,61482,19748,23731,34326,9519,9692,19815,20835,19752,81193,46742,55501,10956,18044,30600,27553,84677,93225,146709,128354,13738,112655,105680,51649,18844,40589,5770,3950,6601,6862,6205,7198,7013,47115,37097,39202,40781,47871,53850,52546
4.69_862.56,,,,862.5611,4.691,43519,35629,45097,52937,60681,54016,68069,64523,72035,39282,65193,62653,138138,60306,62619,71824,62929,40271,18653,25586,23627,25673,23698,30112,26741,24881,27570,84350,27562,30768,27616,29194,44675,28851,28508,39033,46936,46153,40590,34169,41462,42386,38971,33888,28443,42986,39835,28928,37774,35635,29454,35542,38693,31253,2188,2811,2417,2676,2497,2585,2339,37283,44465,40767,39806,37753,36980,36534
10.79_170.83,,,,170.8333,10.792,99733,44930,80277,80259,69945,66996,28727,8612,98128,24855,3370,19308,23610,1661,109888,90131,69044,1301,6875,1207,42782,68415,44705,69396,58763,7163,69592,18937,64223,47028,8369,82745,78488,4403,5692,97734,61358,82797,88460,1824,80136,10389,56474,29442,1705,74360,73649,72859,50988,19787,1454,3652,13746,2429,2067,58053,119110,54928,13803,1934,2030,2073,70742,78776,75049,14529,2021,1607
5.55_489.40,,,,489.3962,5.549,23786,20632,12702,9351,5151,9816,38919,9857,24144,3048,8007,2955,36170,4131,13468,6845,5394,2829,2194,2574,2134,8305,2449,4964,5296,4628,2574,668584,29877,20380,46839,111984,66583,57591,215677,287594,58319,81251,67071,66374,55771,58158,61075,97591,29925,36256,54061,79885,61588,75779,72555,85518,83790,64489,10721,8790,16995,9685,9522,9344,9593,32856,55132,42305,39384,35195,33250,32865
1.14_233.16,,,,233.1554,1.139,63453,34449,67632,87247,37613,50984,83861,46623,76046,58296,35990,52113,130459,38371,84714,184001,64954,27983,50197,25674,34950,62212,72378,35673,46695,46057,102447,39454,111373,24771,20977,27631,30396,36444,25741,28363,10130,16207,36491,12875,14498,14086,17110,17192,12896,11280,22682,29385,12202,13176,9412,11752,9833,11535,7955,5895,13769,11336,7242,7378,7233,33336,40324,43192,41347,34259,33713,32540
5.10_745.53,,,,745.5297,5.096,1810,50428,1055,36704,51665,4521,2596,56165,6919,29217,52569,91273,1517,42408,15,3288,14370,51702,59456,48127,41767,27648,8323,9,4396,53264,27524,13042,37719,62288,9,12,11,10,24213,20,65846,55920,43937,92538,92548,116328,23741,150474,48258,54556,66923,12503,27130,26478,37386,30706,38124,52447,2283,415,19,851,2056,2271,2478,51855,1927,32288,42169,54270,56218,55645
11.15_170.83,,,,170.8332,11.154,101176,38329,83676,81324,70499,77047,24082,6998,102808,21645,3314,16125,22059,1566,113646,88262,70170,1269,4965,1151,39136,64822,48586,68036,62421,5700,69278,14862,66066,38765,6487,85379,78409,3914,5739,115978,60868,83105,89546,1608,77405,8714,65871,25038,1529,75236,66781,78133,45816,16804,1533,3521,11309,2219,2464,40726,113896,67365,12539,1854,1933,1830,75061,77655,74249,12600,1952,1419
6.63_168.97,,,,168.9725,6.63,83683,7006,131688,62888,64138,207882,4828,1829,192567,3802,323,2746,2823,479,97254,27673,105567,277,858,266,9399,5575,146957,43105,122743,1098,61685,4730,51550,8911,1255,51443,24836,431,606,190380,52924,47168,98144,435,33869,1245,166394,3812,495,75736,22807,229136,8065,1699,391,417,1552,493,364,163610,106575,30398,2197,362,369,496,234045,70944,31854,2200,553,381
7.10_690.61,,,,690.6052,7.097,56671,56348,51795,41453,45537,61420,26772,45075,60026,51468,58229,67669,17537,51553,37491,31894,40627,51757,50016,41932,35539,37346,35549,40815,51723,43436,34832,64265,57528,73048,34681,47010,34063,32114,31552,48888,29231,27486,32802,23356,30473,28131,25846,18618,21773,32908,27668,34279,19177,19946,21808,21748,26099,15625,577,392,429,490,492,686,651,38728,52814,47475,46060,40957,41010,41248
6.38_702.50,,,,702.4978,6.384,64737,70787,47244,41473,15808,22725,34867,40433,15971,63468,33841,45707,62138,35097,40660,57902,29336,41878,56258,56206,49515,22438,34352,26575,30025,50594,54235,31094,47156,30286,32011,16061,19111,26483,22000,16426,42367,30300,20481,55077,24462,39846,28174,38606,71714,27771,34534,56914,20226,33410,47636,40116,26012,33054,443,10,19,120,310,135,311,49181,28322,34217,36844,47983,52751,53014
4.87_810.53,,,,810.5311,4.871,6518,22685,9889,22057,39316,20387,15613,15896,25464,20279,17210,30058,18277,47444,12693,15428,23549,52364,28892,30671,20943,22629,15937,20560,41606,27429,15677,26683,47658,28062,28580,54112,65573,50522,33400,37945,49240,45048,59404,52047,60480,42605,26807,62666,29658,64770,42223,35978,93178,84047,65187,62231,80071,95711,183,3,216,158,177,158,327,35275,26239,40064,35683,35729,31617,31604
9.08_1499.99,,,,1499.9941,9.08,24788,21327,26453,25305,23719,25909,24559,26370,24359,19808,24427,21215,18617,29618,30418,27527,37750,40393,31983,50591,59256,34328,64471,28887,52831,48287,44469,21043,45814,30043,12385,35587,41981,32631,31294,34535,43942,68275,73880,44216,79870,55175,63575,56440,24082,84003,55303,53448,28215,34680,28343,26371,36536,51137,9,144,228,11,10,126,145,37968,52540,47111,38014,36240,32090,32196
11.21_170.83,,,,170.8332,11.212,101699,37272,83676,80214,70499,70083,20703,6186,102808,20650,2904,15290,21310,1746,113646,94700,70170,1361,4909,1308,38752,63084,48586,68036,61997,5593,71341,14862,65301,39715,7083,85379,78409,4276,5404,115978,60091,83097,89178,2171,78421,8828,59909,23870,2006,75363,72285,78133,41667,15602,1560,3521,10040,2421,2464,55262,113896,67365,10152,2009,1933,2561,75061,78833,74249,12274,1803,1718
9.07_778.60,,,,778.595,9.067,69681,48888,42459,48495,39169,40288,67614,38426,54467,36751,41475,32200,150531,31682,66954,79362,39516,27523,32263,24104,27083,43423,30971,34508,28084,32191,51617,59411,36853,28920,50776,36078,31165,51540,67809,32854,28859,27322,33127,52220,32007,32195,19064,45658,38011,36783,47616,38859,34581,40938,29906,44951,43964,46575,19265,8893,19892,13488,15908,15879,16454,52233,32552,40634,41436,48158,42405,42300
4.46_909.55,,,,909.5518,4.458,22794,21832,28486,16865,49659,32313,35975,33348,49101,23818,38038,40969,35219,44620,24327,12531,47992,26346,28303,29843,30680,22111,15522,28518,16413,20342,29555,37301,22673,24564,28035,24348,24273,27334,26987,38115,76278,72742,81049,82792,66790,67265,56987,63076,54949,62037,75131,48298,49145,29077,45182,58977,25465,58238,355,168,531,132,1150,1581,1715,39103,35166,36571,36609,40777,43270,43382
5.49_522.49,,,,522.4898,5.485,105617,55824,67671,70855,32697,129062,50345,35456,106687,29577,59912,30160,41797,50647,55159,59617,61688,41563,57801,56273,49046,85283,41335,71062,78006,50883,51607,14222,54725,41442,32697,41560,19198,32396,33071,61370,7115,5357,12927,10386,10241,9905,10041,5874,7820,15424,13478,21530,12380,17015,15448,21848,18864,5989,131,227,4,189,106,113,85,31987,50344,40355,37500,35079,34112,33994
7.13_797.66,,,,797.6554,7.131,27214,53108,41393,30319,48023,43983,52608,50937,48527,50846,28952,44280,49485,38439,68424,49796,41622,46833,17682,16425,15934,20177,14673,20315,25688,25818,14238,49319,27589,25561,43553,54749,46541,42041,45549,56688,42533,48235,43338,44868,49713,40703,40718,53645,36659,43683,35375,46101,69783,46531,43059,44679,52845,59133,35038,34218,33226,34724,36938,34426,35105,37402,45058,41725,39265,38635,37962,36566
8.97_778.60,,,,778.5957,8.973,69455,45893,41804,46650,34675,34726,69457,33698,45146,35406,37587,31328,134842,30333,60532,76633,38503,25450,32168,20327,28011,38742,28737,35060,26722,29475,49900,57865,36071,26011,46084,37874,41152,55205,82045,55482,30057,31603,37570,48852,36699,36938,23730,47484,37430,30274,46305,42184,45387,44148,29684,49794,44842,47806,15547,8523,15688,11280,12844,13689,13710,48366,33194,39211,42344,45111,41097,40972
4.41_409.31,,,,409.3122,4.414,48527,44101,32746,29780,14428,29955,43708,26948,52318,12012,18567,19456,100684,20634,45740,46446,15903,12378,8099,11597,7291,30446,12375,19944,30280,21159,15049,185553,120946,51052,49838,89535,53573,64921,140830,194568,31605,48993,100701,46105,54609,49790,40980,84284,37984,41184,55256,69966,30107,28910,30551,28320,31203,24928,13675,10596,22921,12820,12621,13087,12980,30238,37247,35814,35273,31394,30920,30095
10.44_170.83,,,,170.8333,10.437,99723,49481,70759,81555,67039,67974,36230,9971,90249,27975,2967,21885,28506,1903,107201,93352,65897,1300,6879,1275,44340,69241,44267,66694,51074,8509,73165,20933,62800,50962,9954,83218,79778,4443,4956,94948,53623,72565,76695,2813,72766,11994,41298,32807,1625,71113,76758,63988,53658,21784,1846,3661,14696,2289,1984,30401,62955,49232,16781,1742,1826,2403,62793,74122,75257,16645,1831,1884
5.11_876.59,,,,876.5886,5.109,43469,44327,47146,50458,38159,42957,65441,23856,23015,46908,42192,37408,75481,20365,60715,71421,59394,36705,24686,28213,35251,28874,23029,19115,37983,27631,17395,62295,22930,26953,30568,47115,47900,52180,53028,47657,27393,67063,61983,20505,50985,35371,42802,66983,18687,66004,18261,42368,60140,47979,49387,51816,29813,33905,578,7,348,580,1019,681,926,39475,16925,49814,22433,49214,22591,23974
9.41_717.57,,,,717.5719,9.407,56120,43906,45757,47536,38506,41224,81842,40013,54718,29412,41477,28127,140537,29439,65198,59825,39883,25654,26185,24068,28915,44418,26598,37309,31613,32326,40409,64473,38023,31247,40330,44235,38120,53022,87946,43412,30644,31104,38363,44911,33524,36462,23335,49304,33823,38956,47427,43162,40905,42694,31720,45058,45073,46532,14361,7199,15997,10281,12014,11346,12147,47115,39496,42528,42968,44825,39574,41264
0.80_631.06,,,,631.0616,0.798,47370,54354,37205,28008,29614,2931,68238,26183,31914,34063,387,34031,8753,2198,60435,96121,10963,892,9403,375,23924,17092,1427,30001,3740,8943,45327,94763,139220,89895,33872,187426,129129,970,1563,94506,92949,140571,83809,1820,107210,29812,35882,56585,2789,105486,112428,7187,71704,10843,1258,793,34218,614,390,2731,18693,93261,19932,1241,574,583,5960,65305,92213,35795,2026,1324
10.49_170.83,,,,170.8332,10.488,94613,45344,74789,81555,67335,67974,36193,9971,90249,26489,3316,21884,28506,1961,109186,94257,65897,1321,7011,1160,43447,69601,44267,68190,53236,8509,71091,20933,63328,47869,9399,83218,79778,4176,5474,94948,57711,72565,79694,1537,72766,10828,41298,32807,1664,71113,75129,66168,53094,20053,1563,3669,13907,2443,1998,33743,71463,53033,16781,1485,1579,2248,62793,77027,74187,16645,1510,1884
8.55_777.59,,,,777.593,8.553,68432,42726,35402,45381,31602,31064,58795,38267,37349,37919,42149,34085,98561,36219,46427,89257,33899,33419,36304,28041,27558,40109,28718,29625,27955,37137,55870,73322,35938,27170,52291,35958,35548,52944,68349,39319,24159,30273,29466,49297,30975,30863,18204,39693,37942,35184,45214,35713,36517,47442,35642,51153,41354,54643,40874,21731,27696,31274,36752,38269,38953,51118,27813,35452,38888,42207,44136,44506
