,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.16_634.54_6.17_574.52,Cer 37:3;2O|Cer 19:3;2O/18:0,[M+CH3COO]-_[M-H]-,JMAMJHVAFHHKCP-MZTCKNHJNA-N,634.5439_574.522,6.163,121831,57197,163957,165405,88398,129438,62820,168319,113667,70280,78505,37891,24576,132781,47595,44848,68630,125596,335736,362542,409513,318453,661461,388851,390922,404560,453579,83104,282075,303932,113585,113370,78993,110802,66259,110023,82939,168774,128148,68331,128444,95152,134508,77037,80280,143616,98986,65908,44793,59790,49656,45988,58179,26834,747,336,217,245,176,95,187,184086,205934,183605,177177,178086,185477,183207
8.06_620.60,Cer 40:1;2O|Cer 18:1;2O/22:0,[M-H]-,KEPQASGDXIEOIL-LAPDZXRHNA-N,620.6002,8.065,295334,188353,247572,222602,141491,261621,117988,140041,183731,299102,290063,198176,121917,280651,191105,334381,201683,230742,233333,173378,189832,277072,355602,291209,255492,219515,286813,132111,177863,174926,256291,247257,144242,164065,143644,217410,68010,81076,82746,74600,79162,69225,59624,59645,79514,96358,79037,99211,93953,90237,107314,96677,100606,91849,12748,11738,9488,11217,12133,12199,12138,158033,204252,177945,170087,166709,158273,160812
7.36_618.58,Cer 40:2;2O|Cer 16:1;2O/24:1,[M-H]-,UQKIGQZPZLUGRA-PDQWDRSSNA-N,618.5846,7.358,662728,587265,739411,714180,512347,701048,310474,473381,927689,685668,738040,758575,287376,612873,456135,606095,533519,659426,1023627,1006272,1077835,1042708,1321904,1117292,1171772,795514,1296276,375683,918687,1021512,325041,325984,267703,309591,217180,262597,318335,246026,318453,235143,315008,324148,270943,162927,275006,399124,312027,301925,174319,209771,248297,188170,233489,127443,460,599,476,536,439,716,760,543279,695056,620921,595810,561126,544286,546293
6.76_676.59,Cer 40:3;2O|Cer 16:1;2O/24:2,[M+CH3COO]-,URYITPQMSMOEOZ-ZJGVNGLSNA-N,676.59,6.761,223027,261539,262185,301737,280223,372580,101928,237939,368844,310958,335525,430551,84822,316521,181564,198028,215788,369272,559080,509444,449632,347176,453716,380355,526991,396321,465989,154331,402280,418473,132167,143058,101378,126338,82968,106247,126783,88362,118334,91660,115854,116486,114269,60331,109444,133125,106581,154600,68982,83640,106527,86720,94550,61687,257,364,22,267,277,425,342,216012,283118,242095,231719,214808,218361,219957
7.61_692.62,Cer 41:2;2O|Cer 17:1;2O/24:1,[M+CH3COO]-,IHCUODHUCJDYIO-XDORPINWNA-N,692.6208,7.612,511083,328347,445701,393510,233536,655479,185749,186337,706013,293235,489360,462539,245957,380263,253765,381342,394421,367776,477262,469346,389466,639831,360648,591760,556180,349683,412748,64458,456419,320318,383185,329622,277956,297777,187202,404511,65466,32989,77501,58927,77304,71210,68772,30722,64322,105084,77158,128681,152717,145531,104142,220127,129612,73972,3,205,405,4,105,120,277,255435,322736,290721,280870,262989,251231,252603
8.25_708.65,Cer 42:1;2O|Cer 18:0;2O/24:1,[M+CH3COO]-,WLDYKNUYRLBSJM-VXPUYCOJNA-N,708.653,8.248,315752,727260,1026959,578921,233339,544625,691386,321956,315356,823578,257394,509385,170696,414853,519085,673726,112371,180896,230558,194862,130508,217832,180453,414965,372569,510570,108957,512941,101413,130831,219388,345240,97119,204260,199343,418172,264033,344293,296454,394442,282707,268575,213107,403706,354891,468719,288744,461760,764775,542763,539981,422715,363605,442480,5125,4979,4334,4731,4419,4878,4665,333770,556584,468791,428299,385485,349868,349247
8.70_648.63,Cer 42:1;2O|Cer 18:1;2O/24:0,[M-H]-,ZJVVOYPTFQEGPH-MHAUTQJVNA-N,648.6312,8.699,249927,174958,148913,162497,139861,135553,74177,75534,80470,324033,115813,155061,87685,194087,196365,262629,156359,142187,184700,70223,88314,90381,146213,105941,109428,139042,147821,64904,88030,64947,333611,185825,107682,132741,101125,135769,52440,65702,55674,85063,52081,38970,38670,58550,84071,71636,68528,95055,90782,81719,87859,76549,72459,104645,88326,78624,48822,82854,82773,83500,83977,110425,133004,125990,120597,114461,107580,105943
8.02_646.62,Cer 42:2;2O|Cer 18:1;2O/24:1,[M-H]-,HZPUWSUHFOTSAY-AKTWBEBINA-N,646.616,8.02,482363,646980,486202,509222,522339,521748,279770,345488,417602,889180,366706,602673,240528,452587,574783,712323,306762,444014,390886,315573,287727,220808,409045,241382,323024,472402,399067,222266,257072,233531,287519,318942,182729,220006,199164,244153,138453,172617,160440,156703,150067,136056,124716,159192,142854,181179,141749,179739,195072,156269,182888,144074,151081,195381,10324,9107,7445,9035,9030,9615,9429,284732,366332,323900,293162,294518,279781,279753
7.44_704.62,Cer 42:3;2O|Cer 18:1;2O/24:2,[M+CH3COO]-,GGSZJXUUQMDAST-PKPBCWLKNA-N,704.621,7.443,175588,317834,218251,219515,259012,284537,122750,198813,190803,461013,156841,327026,93776,219180,257019,246688,135050,196347,159200,129371,98861,74544,107069,87612,123323,200824,107152,112779,105511,94475,110379,140709,68128,89830,82364,106325,60869,72624,66590,63702,59932,54509,58127,70322,58168,69207,52439,90135,101265,72586,86452,73943,63764,102715,8360,6939,6591,7155,7027,7550,7899,127492,154656,137462,129444,121577,120159,120991
6.93_702.60,Cer 42:4;2O|Cer 18:1;2O/24:3,[M+CH3COO]-,MRVHMHLOVRJTKO-XZEUHWMINA-N,702.6041,6.931,29495,47444,30977,28768,37704,55665,21403,30043,29436,61282,24786,47344,16045,28668,35479,36567,24616,27309,29167,24491,17598,15294,14877,15311,23757,30109,16251,16254,18564,15755,16656,21808,8191,13531,12332,19223,10062,9127,10684,9555,9673,8798,8949,10330,7943,10110,7698,17610,12344,10215,11815,12144,9863,14004,293,530,266,32,353,30,174,18016,24481,19989,19418,18422,18066,17587
