,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.67_564.54,Cer 36:1;2O|Cer 18:1;2O/18:0,[M-H]-,VODZWWMEJITOND-OWWNRXNENA-N,564.5371,6.666,17218,12469,11136,9470,7923,9677,10035,10199,10723,9096,10230,8946,8895,10360,13526,13895,5699,17134,12726,18613,17990,13768,15595,19764,13260,9300,13139,18286,14947,14761,10984,15933,16071,20006,24010,20897,10659,10478,10687,14488,16528,11234,11428,12166,14085,11949,10255,11218,24164,16554,18852,17609,20035,19319,5503,6132,5971,5307,4727,4928,4902,13865,14298,14452,15149,15056,14234,16199
6.16_634.54_6.17_574.52,Cer 37:3;2O|Cer 19:3;2O/18:0,[M+CH3COO]-_[M-H]-,JMAMJHVAFHHKCP-MZTCKNHJNA-N,634.5439_574.522,6.163,443914,284657,355527,271517,186334,190605,338669,335548,275011,260322,282982,227542,67381,221150,468304,364152,29088,299696,236729,271774,268927,249930,284243,276030,261855,241141,261211,393842,250377,258002,255462,291689,297180,294630,291948,334520,242856,278234,234339,321329,317770,192602,209605,269916,312464,289071,231890,270490,343727,267353,289242,292793,281908,315473,223,207,285,267,128,204,444,301376,296820,301935,299497,311357,304716,305898
8.06_620.60,Cer 40:1;2O|Cer 18:1;2O/22:0,[M-H]-,KEPQASGDXIEOIL-LAPDZXRHNA-N,620.6002,8.065,33314,38795,37184,37715,20482,28668,23664,27364,50030,29875,33004,23031,16113,32459,36301,30294,10651,58485,22904,44918,104980,58633,72958,169311,30167,34595,43532,67341,66931,56363,25728,41122,124417,115438,135603,57509,64136,91843,57841,104235,156412,108002,106503,60928,140121,100016,50613,45774,179211,140281,149826,56770,134003,77050,16748,17577,17495,16721,15931,15640,16128,72405,67238,71265,73274,79851,76021,72613
7.36_618.58,Cer 40:2;2O|Cer 16:1;2O/24:1,[M-H]-,UQKIGQZPZLUGRA-PDQWDRSSNA-N,618.5846,7.358,123266,134427,127027,104601,78763,81769,82466,104310,175558,112006,150205,118317,48915,172798,133345,111539,30304,169707,43723,84926,130514,66295,127376,207320,58569,42943,60014,54434,77413,107467,37215,51379,138862,116628,143059,72597,70922,74382,65895,87271,170367,124446,115502,59266,130677,101810,74361,45559,147061,131641,189392,95565,199560,87383,767,908,878,514,742,701,575,115735,115237,121157,124941,129394,124594,125228
6.76_676.59,Cer 40:3;2O|Cer 16:1;2O/24:2,[M+CH3COO]-,URYITPQMSMOEOZ-ZJGVNGLSNA-N,676.59,6.761,64391,73511,49966,44038,44931,56418,36188,60291,69718,56509,69189,67892,21743,74055,60731,49273,13098,75659,20912,31737,37968,18400,31006,59180,17357,17480,20252,17965,21649,35036,16670,22755,31901,34068,41108,34064,22172,18294,20224,29832,48129,31736,36874,21505,36962,27506,20710,15750,38259,37475,51055,40723,54530,39029,515,506,350,393,277,267,389,43693,42325,43860,45560,47250,47029,47235
7.61_692.62,Cer 41:2;2O|Cer 17:1;2O/24:1,[M+CH3COO]-,IHCUODHUCJDYIO-XDORPINWNA-N,692.6208,7.612,148380,137696,87315,77944,80605,108878,91207,76654,177958,90771,112074,110176,59817,106634,105326,84245,32888,118138,42418,83215,108133,64616,80985,222483,36401,28617,62671,8738,84406,80807,38265,51933,100360,137473,125049,81459,45809,28629,47590,59423,126560,99255,101917,37464,101441,74874,48299,37020,154593,126591,139244,116001,148694,65130,93,49,234,327,144,114,368,101718,99462,106170,107215,110448,105592,111035
8.25_708.65,Cer 42:1;2O|Cer 18:0;2O/24:1,[M+CH3COO]-,WLDYKNUYRLBSJM-VXPUYCOJNA-N,708.653,8.248,4871,14672,10550,15845,8941,9504,3542,12457,15302,11008,7450,9209,4086,5116,5045,5589,2425,12720,7752,18550,36358,18571,21826,40197,11655,20323,19939,32025,17379,20397,8029,9520,26382,24337,27481,16950,46907,90857,46580,95635,159630,97138,76411,60157,97707,103409,40648,31547,72561,85075,99179,12050,68791,33438,6931,7210,6514,6608,5957,6378,6032,34605,33635,36444,34746,37174,36195,36256
8.70_648.63,Cer 42:1;2O|Cer 18:1;2O/24:0,[M-H]-,ZJVVOYPTFQEGPH-MHAUTQJVNA-N,648.6312,8.699,38750,55116,48987,61794,27647,37961,25558,59346,49905,57854,48712,37558,15577,30899,59111,49878,12131,74672,42285,65872,127292,57117,67787,142862,63925,112120,110167,235154,76957,104377,59530,121616,163600,124549,153712,130536,121241,170706,100942,133850,154239,113956,129014,124808,138367,107613,85496,100229,199983,174248,207391,53238,137038,110260,131928,146283,141799,123652,112592,114575,115599,108290,107603,106128,104214,108828,106001,107318
8.02_646.62,Cer 42:2;2O|Cer 18:1;2O/24:1,[M-H]-,HZPUWSUHFOTSAY-AKTWBEBINA-N,646.616,8.02,49376,86329,60383,74013,62856,50557,51820,64558,120326,68090,54791,76079,22564,55596,50566,43830,15102,101308,36996,68001,152757,61526,113154,221725,49283,57957,56696,107537,88488,87793,38265,56612,145354,128504,157353,72632,136632,184551,121024,191288,302508,255607,220257,154911,254626,181307,97024,73141,304655,245146,293617,102473,225797,176886,12971,13686,13545,13082,12007,12062,12786,123253,119773,128003,126068,132699,126674,131543
7.44_704.62,Cer 42:3;2O|Cer 18:1;2O/24:2,[M+CH3COO]-,GGSZJXUUQMDAST-PKPBCWLKNA-N,704.621,7.443,20794,30977,18404,23174,27414,20531,19572,27533,28576,26974,22904,32975,11668,21868,21395,17780,8093,32589,13105,20636,35644,11710,25647,71560,11746,18710,15941,32773,16862,22981,13298,19272,26850,36694,35705,26841,33177,43771,25910,37703,69636,44976,49226,39629,61506,29435,24991,20362,92867,58072,84097,36780,49774,71263,10843,10938,10851,10381,9708,9789,10323,31979,32675,34185,33724,33383,33533,34922
