,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.23_767.54,,,,767.5397,5.234,19833,21840,15182,25006,21954,27329,17805,24137,25563,23930,22556,22077,35782,18806,18092,20903,27084,20650,22660,23406,22659,19606,20737,20591,22979,27123,26909,19460,22051,21788,23335,22349,19413,23383,20275,19195,21321,21940,21451,19727,18443,27763,23573,22518,18319,22285,22484,20619,21670,23250,19052,21619,22229,22946,35029,36302,36870,37389,38056,36493,38097,24509,23426,23085,22613,22835,21230,22193
8.16_919.68,,,,919.6816,8.159,3358,8539,3004,14292,234,2650,763,1584,5272,2194,2956,963,942,2129,1204,3705,782,11550,2933,20639,47821,15772,39865,119371,4069,8425,9994,3722,19407,14840,4055,4238,32909,97056,60727,16869,17485,41196,26245,29338,37291,82595,43237,17133,56024,36942,22185,13906,83566,64082,60833,2241,56203,9542,3328,3407,3521,3384,3088,3000,3495,29703,28454,29869,29438,29334,29470,27918
4.42_887.55,,,,887.5508,4.424,31123,21784,31298,18583,26384,25572,25670,22211,25303,17532,24596,17434,37193,28649,20935,21972,50775,17844,27497,22188,16606,25706,24328,15342,26682,21874,21910,18147,26161,20100,28429,28285,19202,20090,15562,26559,17602,15669,18480,18143,13170,15471,15571,17050,15829,16787,17734,24225,14767,15766,15184,26572,17213,24538,3,3,245,267,243,183,4,20479,21227,22444,22590,24171,23678,23781
5.03_712.49,,,,712.4935,5.03,44669,55742,33868,20128,17978,39008,49523,25376,39132,29544,25937,20985,17851,26006,46461,50600,8638,16293,20510,15178,12214,17709,8616,16828,12176,14555,16903,10632,16147,11806,11525,15651,12887,14288,18443,21356,12050,9899,13319,18698,13936,12042,12856,14518,12741,12444,14831,20945,13821,12175,12399,18785,13064,13148,2216,2336,2115,1990,1992,1890,2155,22434,21449,22597,22502,23850,23284,22925
6.30_834.79,,,,834.7922,6.302,13708,12101,13443,14925,13181,13493,17651,12954,13229,12392,13367,14417,33070,13316,14977,14140,27699,21774,23919,24328,25663,25418,24778,23488,25417,29318,28501,24057,26011,24884,27006,24280,30313,31084,26846,22439,24032,28878,25385,25523,25588,25993,22955,24092,25455,26562,26165,25412,32547,29597,27666,27014,28994,27088,12910,14166,13748,12948,11275,11195,11295,23571,22752,24091,23843,24102,23420,24308
5.53_869.61,,,,869.6092,5.526,22988,20009,21642,24731,23352,22872,23410,22979,25285,21023,23055,24421,37491,18621,22118,21964,25361,21003,19477,22800,16279,21618,13578,15158,28186,20950,25598,20947,24435,16778,18427,23860,23406,23794,20557,21477,21656,24335,24306,21185,18917,19760,23217,16866,21360,24631,24204,21697,18044,23647,20678,21387,16240,20457,10023,8209,8444,22843,11261,8515,8924,24744,24814,24311,23205,24098,22787,23464
7.22_834.62,,,,834.6248,7.219,20530,9960,12438,13308,5369,8995,12740,10737,11647,9464,16605,7817,12920,8648,14636,12400,9864,16354,11610,20776,47157,28497,38985,47627,10689,22115,24870,139436,27801,23766,12980,31406,35311,56844,51179,33989,8262,15438,9437,14780,27630,10360,10073,10096,15855,15512,9604,13912,32197,17357,29459,12029,15832,17200,4426,4611,4830,4848,4400,4604,4477,21645,22484,20545,21074,21805,21656,21183
2.50_258.32,,,,258.3169,2.502,14,12,25781,20,16,16,21,23579,14,19,17,16,123,30558,17,19,89,115887,19,129196,109763,23,113806,21,22,28,22,18684,22,73598,25,17,24,23,21,16,22,32891,22,22,59030,31,21,20,22,23,23,43877,26,168548,40252,21,166245,27020,180198,18,19,20,53720,51571,22,71920,22,21,20,81148,19,19
8.26_759.62,,,,759.6164,8.261,8738,13612,16257,22358,8278,12675,8685,13429,18703,18423,12844,10757,36797,8402,11435,13471,30590,18586,10520,19413,32486,28249,24278,40921,18684,27150,20953,15610,27060,21518,13439,12018,36040,37390,32609,16262,23525,34287,26394,32917,34127,49233,32023,21781,39314,36822,22759,19771,40232,38130,31102,8669,34907,14170,9021,8296,9152,8084,8106,8157,8060,29789,27660,28366,25346,25171,24078,23134
7.36_778.57,,,,778.5693,7.36,30735,26984,30514,25219,24185,25019,25546,28771,32259,29690,34751,32059,2666,41665,35697,30901,1926,32917,15866,22384,21948,17493,20055,455,18123,15832,20660,16962,18587,29991,12873,16680,13907,490,22177,19654,17230,538,16587,471,22929,671,21044,15826,475,506,17945,15321,7506,26111,26348,30267,31970,22932,396,382,408,431,509,493,485,25682,26017,23277,22910,25814,25496,25412
6.47_796.59,,,,796.5911,6.47,15804,12899,16482,21778,16321,18054,21113,15908,15500,20028,18047,18222,50891,14866,17881,21404,39492,16904,22212,24313,26675,24472,20983,22277,24597,31976,25504,18353,24615,20670,26776,20252,26928,24758,31567,22141,21373,23566,21985,23681,19833,29346,22210,20954,22553,25570,22943,23260,28440,28313,21813,22342,23852,22023,17593,17785,18921,18641,19611,19753,20792,24048,24806,22352,21695,20861,20259,19639
6.14_681.51,,,,681.5109,6.142,13368,10288,17223,22517,17334,17885,25660,15591,15165,22502,19066,16300,52168,15203,19893,24335,46588,15701,21786,22249,23257,27443,17375,19017,26141,35373,26153,16853,24833,21304,31236,19207,26129,22168,21366,15996,24309,26900,25467,22749,17837,33812,23111,21837,21072,24857,25747,23799,29206,29600,22594,24083,24602,24328,13368,13508,14389,14285,15525,15820,14584,25580,25267,22754,21266,19672,19500,19081
4.86_445.37,,,,445.3671,4.862,266,7159,298,22819,294,306,396,276,271,348,32977,291,2300,273,312,361,1662,28524,24393,32196,41966,38650,30765,40204,36816,54445,38261,325,38881,35148,467,31460,45534,43354,46282,22382,405,33273,24793,36493,33442,56467,24541,34237,39180,43536,25730,395,44196,21843,14963,35604,39035,34389,342,330,352,372,439,426,418,32196,28784,37140,30471,27305,27424,26849
7.69_819.64,,,,819.6394,7.691,10092,9908,12057,20197,9270,10332,11151,11113,15986,14302,13010,10419,56601,8921,11527,11900,45498,16718,11497,16758,31978,21293,24952,54265,14404,20066,16882,14131,20328,17572,14848,12611,35467,45602,32273,14938,20875,34617,23784,30140,42947,51818,33477,18618,48642,36927,20609,16306,46459,41794,35967,11194,36449,13966,10317,9726,10234,10026,11613,11102,11811,23936,25003,24078,24518,21704,22924,21079
1.92_241.22,,,,241.2182,1.922,20497,21935,15800,19597,16380,23284,14777,15705,20983,20652,18316,24576,80946,14801,13182,16654,46223,15812,15658,13671,16128,63196,13702,22099,18734,16084,16235,141720,13047,15706,17253,13617,16956,19313,17992,13766,14561,16986,18108,23407,27428,23137,14545,16695,25968,20144,12385,11348,21180,16524,17029,15090,15173,18171,19222,13896,13577,13600,16011,15229,15541,17575,29066,20138,17110,17749,17202,17898
8.35_971.71,,,,971.71,8.35,2,5114,1715,15697,2,2,210,2,3447,911,3,2,18,2,2,3,13,16760,620,18019,46145,11042,53657,92327,3282,8116,8734,2642,14656,14514,4,2408,36462,86649,45611,14832,25034,67376,35100,26416,37242,85975,49055,20451,63908,35209,35847,13313,62356,71171,77834,3,55439,10005,2772,1624,2177,2765,2536,1983,2398,29821,29849,30459,28808,29715,29361,27814
4.68_449.31,,,,449.3129,4.683,13520,11390,16594,22180,14618,16541,23098,15993,14588,20103,19614,15963,69934,13875,18051,22561,67827,16678,20490,24032,24317,24636,18036,22359,25222,32087,26524,17675,21979,20909,26920,18434,26291,24482,22175,17210,23322,26928,24958,24041,19252,34817,25048,21758,25149,27566,22623,21912,29606,33197,22319,22354,25852,21485,5947,5719,5634,5342,5524,5635,5715,26358,23953,23320,20556,20202,19622,18454
4.91_612.39,,,,612.3942,4.908,15366,12621,18062,21542,16908,17561,22786,17409,16244,21428,20178,17534,47803,15804,18759,22386,45147,17553,20092,21441,23779,23461,18813,22965,25497,31283,24724,18296,23005,20971,26393,17251,25042,24696,22207,17950,24070,25951,24032,22612,20477,32937,24985,21509,24106,25927,23354,21748,27957,29890,21976,21717,25407,21244,9757,10136,9278,9297,9693,8450,8415,25630,24143,23243,21124,20192,19357,19387
10.53_166.03,,,,166.0335,10.534,10978,12426,21296,23283,7757,16486,9653,15633,19600,26519,21310,10595,40579,11233,20548,25258,43442,17352,12428,22234,31384,27638,17572,28863,27240,36099,27985,11039,27797,20058,23069,17328,32636,25842,35302,19304,22362,25207,30020,29443,23158,41362,24447,17941,25434,30592,18880,18394,28267,38130,20892,11130,24537,12403,10144,10008,8476,8933,11196,10061,11159,33778,29890,29721,23070,21937,21498,21747
7.93_681.57,,,,681.5695,7.927,13592,13738,19006,24951,9147,9716,8380,13907,14610,15490,17777,8614,3624,13975,15463,13109,4710,30467,13499,21426,36616,23590,31935,37487,22231,24530,16485,16465,24135,22788,16721,16642,46314,29397,43819,19567,14368,27528,14779,43434,48802,45230,23715,14694,46117,40709,15876,10520,18866,26444,17220,10499,29314,11022,5842,5616,5772,5674,5179,5334,5432,22679,22676,23531,22682,23372,22384,23146
4.95_891.59,,,,891.5948,4.954,12467,18282,12152,24150,35413,27308,14409,29677,27439,19052,19225,37690,18952,11367,9944,9636,12808,15286,26005,24029,22268,19420,18704,19592,24321,27177,24094,24502,22538,26228,19175,16554,15765,14261,11724,15333,29035,25190,30880,21221,23182,31655,25838,29608,21558,23589,27490,29813,16927,21344,12700,14678,15234,19221,2998,3183,2817,3095,3268,3102,3121,24358,23392,23054,21798,22511,21351,21157
11.21_166.03,,,,166.0336,11.212,15201,11667,20298,24031,8875,17568,12752,15447,16990,24538,24946,11301,45717,12516,23012,27843,37488,15809,13740,24681,24879,22144,17183,23450,26880,34527,29198,11831,25133,18246,27739,18339,31836,23509,38165,21387,22245,23114,30355,25210,18231,41680,25099,17383,22906,28015,20772,17965,23950,36895,24396,13211,20917,14828,17077,14807,15184,15148,15965,14884,16443,34129,29034,29220,21446,18246,19829,20210
4.93_818.50,,,,818.4974,4.932,9555,13955,11391,12117,12483,15313,14120,13097,20745,12912,12732,12581,13224,12306,10119,15520,15422,10114,29836,30905,25158,28218,23829,16975,35455,36774,32065,23980,30763,21314,25703,19247,20243,18868,15906,20526,31908,29776,30738,30438,22329,38535,28002,30617,27315,31739,27594,32759,21746,23642,18268,22316,21151,22533,8,8,8,9,10,10,10,23010,23584,22457,21859,21425,20468,21192
6.30_294.28,,,,294.2809,6.302,12325,11882,11049,12774,10939,10505,14381,10449,12428,9966,10422,12196,45133,11621,13238,11241,36223,23481,22678,23440,25119,24003,24877,27167,24480,25997,27123,23905,25622,22319,27570,26755,29232,33116,30204,25572,24227,29555,25411,25386,27741,25805,25354,23482,28170,28639,24803,24343,29042,27810,27621,25144,28965,25063,14301,15429,15143,14144,12581,12789,12152,21506,21678,22339,22543,22174,22365,22477
8.34_720.65,,,,720.6526,8.335,7468,18408,11310,14681,11964,11544,7289,10642,19452,12628,8930,11372,5290,8208,8606,7121,4073,18210,8712,15533,31114,16088,21730,28409,14413,15849,16795,19070,25023,22084,9345,13659,28973,26721,30261,15532,30786,38469,27698,35155,43067,45401,41370,33987,35630,31872,19154,18728,53605,48165,47996,15428,35813,27302,3164,3329,3394,2787,3045,2852,2266,25897,23916,27248,26261,27412,27032,25685
5.90_796.55,,,,796.5508,5.904,7317,14395,16952,22848,9225,11123,18674,6513,6850,20913,8065,17157,52940,8990,18009,21849,48328,5118,23451,26402,26791,26398,20996,24435,28425,35497,28361,19364,27521,20765,27371,22009,29208,31243,27399,20480,23188,28600,25577,28074,22815,35052,24599,25850,28366,31167,25746,25149,33710,32652,26402,25060,27613,4033,9,8,9,10,11,21605,11,26807,26160,24901,22482,22331,21129,21130
7.40_820.64,,,,820.6373,7.399,12663,10816,13976,17833,7438,10030,10902,11160,12514,12864,14129,10190,32882,8808,13570,13104,26675,15959,11240,19971,43507,33832,32536,50210,11669,19793,18811,57335,35312,17347,13193,17651,37291,47041,48592,27478,13871,24289,16065,23247,34833,28622,20216,14776,30109,23928,15287,13663,31971,27304,26235,12816,24686,15571,23219,23855,25524,23412,22599,24564,23746,23275,22904,22018,20880,22063,20516,20893
8.97_1471.96,,,,1471.9609,8.968,19872,12115,28167,17366,23254,25139,33838,24190,36225,18723,22341,18284,75163,35341,27349,28225,79915,24611,20497,19628,11719,20346,17108,18598,19717,20123,15174,22474,19847,16956,20786,18859,20147,10602,12816,17515,19396,18418,22857,16372,10974,19884,16268,19667,14132,17955,28984,24692,12076,18566,23085,16950,17386,16731,9,92,101,9,168,114,113,24026,21375,23017,23149,23042,22091,21451
8.70_694.64,,,,694.6374,8.698,11923,11443,11943,15132,9154,9108,8803,14294,9553,14357,14274,11103,6269,10432,16773,14463,4996,16789,12491,16811,23777,12485,15534,23681,16315,27641,26718,56823,15766,24266,18963,33101,33424,25805,28478,31012,26636,35926,22322,23861,24258,23134,26114,28101,25124,20299,22460,25179,37520,36384,43833,18042,28106,32263,38288,39837,38391,35038,33386,32630,34534,22856,22991,22763,22634,23073,22911,22904
7.61_632.60,,,,632.6003,7.605,31681,29815,19920,17979,17457,25906,20060,18180,37696,18166,24588,24054,15128,24570,23595,19249,8542,25616,11749,19481,23723,15594,18891,48970,10384,8678,12527,3732,18232,17529,10579,11480,23082,30680,28143,17822,11506,8947,11419,13708,29309,22207,23705,8880,22202,17091,12006,10144,35841,30567,32652,27114,34454,15715,176,169,181,191,226,219,215,23833,23121,23908,23689,24531,24846,25328
8.26_891.68,,,,891.6795,8.26,9450,13025,14883,21996,8533,12510,9631,13018,17991,17846,14078,10675,40263,8676,11653,13565,32361,16613,10686,19707,30847,24727,22765,40808,19090,24251,21381,14315,25194,20046,14305,12434,33726,38170,32067,16192,22688,32075,26650,29385,31814,46857,31788,21060,35632,35158,22632,19253,38621,38512,29181,8844,33223,14093,8980,8361,8727,8676,8879,8353,8314,28622,26448,25629,24048,22885,22193,21910
6.07_874.56,,,,874.5589,6.067,19075,22905,18398,23593,19475,21691,19955,19529,20751,21813,19197,18802,24680,19455,17161,22580,22549,18670,28660,24409,22902,28588,24135,21018,28652,27558,30522,15809,28974,28358,26618,23999,20599,22318,21634,20413,16571,16710,18747,17991,17132,22415,17295,16675,18080,18249,20151,23362,15721,17838,15291,17050,19065,16321,455,441,543,251,401,342,636,23262,21985,22571,22023,21705,21484,20947
6.17_421.23,,,,421.2269,6.171,13206,11679,17081,21440,16926,18101,22807,15847,14346,20657,18521,14706,38561,14252,18048,21920,33727,16630,20630,20331,23123,26038,17812,19276,23482,32056,24451,17496,24220,22034,28457,18661,25545,22795,22000,16728,24847,26371,24529,23950,19456,33471,21312,21891,22492,25077,26344,22742,28966,29396,23495,23892,24686,22581,10216,11577,12620,12977,14398,14090,13669,23565,24474,21487,20885,20479,20635,19476
7.67_702.60,,,,702.5994,7.67,16286,14206,13541,16113,15156,19227,13566,21998,30542,10789,21090,20436,17791,16567,10630,11307,8603,21453,14633,22753,30997,23348,36161,33707,14459,17822,16164,23757,31342,22726,15058,15064,38676,42094,47553,23774,17279,20566,18093,18332,22932,21320,21814,18109,19541,20640,17032,13946,23571,23496,25232,17895,24455,18200,4794,5117,5051,5117,4850,4766,5228,22611,23662,23915,23934,24589,22659,24113
7.80_777.59,,,,777.5928,7.805,12313,12640,13518,20276,10247,12636,14949,11911,17209,16253,13957,10785,48581,10455,12829,13740,36706,18911,11239,17408,28907,22541,23082,47957,14734,19288,18466,15642,18563,17166,14651,12602,29849,43993,31002,16597,19341,31833,22018,27569,34412,46164,30734,17148,40522,33607,19714,18824,44422,36777,31336,12860,32232,15041,15564,15263,15417,14361,15493,14904,15414,24386,23694,24029,22215,22104,21139,21177
6.16_860.64,,,,860.6397,6.161,7536,19817,5015,22755,24771,15930,5019,14305,12462,14843,12780,25241,13948,13773,9909,17088,12325,37974,36207,35026,43947,15494,24240,16943,29772,34719,27507,16419,30593,26771,18824,20295,16528,35850,39546,16675,14934,19969,24370,28769,27733,27446,23012,21859,15785,23361,24529,22623,17200,11106,16277,7986,22990,15013,128,2,2,253,2,2,2,22356,23119,21992,20929,21745,20160,21119
4.26_812.52,,,,812.524,4.256,31691,24806,22392,21688,28001,27924,28813,23645,22382,23743,23193,21929,40421,23317,21993,23346,27672,18158,18651,15929,12565,17624,11747,15545,18075,17172,17734,16867,16306,15963,25750,22873,17504,15941,18702,21825,22413,17297,19712,18393,14918,23136,17900,12775,15484,18040,20447,22146,18826,20892,20832,28860,20351,22212,94,135,262,192,222,101,251,23376,22882,22841,22119,21341,21140,21681
5.57_803.55,,,,803.5464,5.574,22344,32210,20833,25607,46497,35730,27451,37025,46360,23417,20265,58018,16745,24477,17955,15403,15115,20367,18487,13626,12911,17589,12366,15029,15313,14823,16117,26932,15114,17366,13349,12932,10318,7911,8207,8122,18412,16296,20567,18165,15259,15438,18364,22116,13796,15167,19531,21606,10973,11130,10569,16762,10851,14411,8,715,280,9,110,11,723,9089,21011,21317,21009,21733,22201,21588
6.75_655.49,,,,655.4928,6.746,6945,13883,22537,31528,5360,14610,4100,12777,14877,21272,22725,8692,4293,13091,15541,14261,7215,35845,9415,10178,32212,24902,11385,32705,13325,23603,9201,7652,14264,13974,10650,11059,49595,25664,42080,15392,14709,26591,12763,51940,53492,58448,20915,16259,69745,57187,16721,8421,14211,33824,18983,4769,43544,8996,13939,14132,14418,13850,12589,12745,12732,25405,23469,22753,23975,22814,23603,23020
4.88_850.56,,,,850.5642,4.876,12661,12537,13186,17271,20834,15740,12215,16018,16827,12129,12689,19860,17012,12154,10993,10861,16657,15330,24784,26714,26417,22756,27773,20079,33983,26773,26543,19287,27489,24547,22081,20866,23256,21946,19666,18538,26990,25438,30599,26945,24599,32672,25595,25645,23479,28634,30151,30580,17721,23468,18877,18180,21869,21364,707,852,978,1014,937,212,881,22329,21829,22577,20888,21532,20697,21042
8.21_891.68,,,,891.6798,8.208,9196,13025,14822,22219,8533,13850,9613,13018,17991,17846,14078,10675,40269,8676,11653,13565,29065,16613,10686,19707,29684,24247,22765,40808,19090,24251,21420,14315,24690,19431,13513,11853,30897,36653,30203,16192,22418,32408,26650,28284,30256,46657,30160,21060,35632,33487,22632,19253,39087,37946,29403,9108,32369,14093,8439,7503,7606,7411,8741,7244,8089,28622,26448,25629,24048,22927,22596,21910
5.67_672.50,,,,672.4991,5.669,24375,24599,25362,20902,10999,12552,13951,15208,21186,16292,22235,11147,14064,17630,24074,19877,14741,23594,14370,18160,34746,16416,17128,33587,15663,23101,23877,19656,16463,21417,14788,30406,29051,29125,39996,31004,12548,17958,12160,23273,35800,15740,13887,15370,25251,22347,16338,14351,26022,19339,23545,12311,20158,16205,571,658,640,772,675,787,500,20395,20432,21124,21100,22184,21425,22262
8.32_672.59,,,,672.5922,8.316,29507,18234,17256,14219,14232,23452,19293,13342,16870,15391,18787,14154,14161,20662,23100,18707,7650,20538,15734,22441,17152,20068,16220,12717,15913,17762,20252,16206,23904,20123,17346,23673,19813,17260,21686,26429,22786,23561,16979,13487,11353,14898,17991,17595,13511,15145,19253,21027,46698,27409,22873,37821,23677,76529,14727,3148,15160,14480,11392,9203,15798,19323,20770,20964,20269,33260,20761,21173
5.92_775.55,,,,775.5508,5.922,16178,20293,17514,17725,21079,14638,13739,17646,17439,18214,16380,18329,4992,15157,21881,17361,7153,19871,26135,28544,30378,19936,26774,21587,24367,25097,24799,24472,25344,21566,18855,22776,26732,24200,28462,23149,20124,19247,18619,21691,23782,18422,18827,22827,21068,22331,18491,20930,19956,17387,18738,15693,20537,18394,1225,1679,1456,1272,1248,463,909,21049,20277,21195,20940,22975,20825,21626
2.71_331.27,,,,331.2655,2.713,16068,32145,15971,20117,23403,19482,11391,24502,18417,36218,20345,21166,43121,18721,16462,20777,29707,21866,17010,24810,31810,26975,23751,32796,12973,13563,17037,15271,23752,26876,14935,14056,16881,24157,33273,26145,15303,14406,19353,20698,26116,18027,20950,20809,24971,17932,16213,8804,15981,17567,17049,9335,20674,12511,63821,67576,64201,62613,60190,60132,62023,22143,23836,21057,20006,20666,20367,19695
6.27_886.62,,,,886.6158,6.266,15630,13270,18325,20508,12372,12352,14351,10978,13817,14368,16215,10273,17748,16929,16766,19841,14425,22242,17266,19758,32859,19938,21824,31428,17224,26332,24030,19268,19675,19372,21399,28028,33205,37778,37710,27831,15335,22443,17949,21664,28883,18682,15380,18614,24063,22199,18289,19285,32707,28432,31309,18642,27417,20227,4171,4390,4822,4366,4491,4903,4472,22864,22521,22110,21613,21249,20437,20812
4.51_612.40,,,,612.3954,4.512,15055,10880,16116,22662,15554,16536,21979,16466,15213,20734,19650,16270,53554,14720,18134,21782,55103,16746,20272,21718,21274,22539,17476,21458,24741,29031,24219,17999,22294,20913,26432,18846,23377,22271,21236,17578,22564,23079,22842,21889,19487,30484,23860,19620,23102,23768,22832,21510,27648,28126,21653,21683,24235,21999,5937,5060,5494,5116,5852,5521,5253,25609,24699,22030,20272,19042,18779,18724
6.39_788.56,,,,788.5603,6.388,28282,22083,21451,19346,31436,21917,23289,23985,27186,23877,17204,27122,24601,17161,28787,21668,23002,21383,19889,18318,15029,18776,16727,17078,16761,23028,17511,30216,16705,17936,23844,18114,14706,15928,15721,23743,16682,17693,18614,16804,15037,16618,17512,21240,16250,16375,15706,19214,19407,19731,16157,26959,18487,19212,363,460,230,352,447,667,339,21376,20955,20614,21168,20669,21249,21735
4.20_807.50,,,,807.5027,4.2,13452,20193,19917,25659,28068,22068,22718,26338,38449,25844,28184,37688,86467,21511,26005,24943,68552,20326,19258,21838,22274,13806,21893,33031,17113,24528,14836,18106,13606,16122,15306,13474,21641,17857,17556,14817,16620,14826,15172,14210,22182,20950,18259,13999,16892,16906,13094,16877,12853,14815,14196,8891,14560,14268,5300,5466,5287,5479,4506,4926,4655,22884,23062,22455,21979,21190,20779,20752
5.28_879.60,,,,879.5967,5.282,29250,23767,21296,30254,27835,36164,30589,22515,27871,22075,24563,31629,51062,23208,20381,24203,36060,18298,17233,18336,14858,21727,14459,19456,16427,22984,19704,20239,17041,19625,20655,15351,14572,17245,12960,15563,16754,15064,17036,15504,12389,19849,17360,15736,13251,14180,14963,19416,17758,16054,16653,22614,15563,17902,2031,1852,1900,2233,2163,2178,2128,22580,22378,22139,21101,20665,20753,20641
6.58_677.49,,,,677.4933,6.582,8334,19364,11871,19202,14039,12887,7480,14719,14390,22673,13687,16757,6098,12440,10563,12446,7259,25354,23995,25380,34939,23793,18321,23214,20076,24658,19992,12654,23717,26908,17427,16109,22820,20460,30865,18023,21880,22687,24285,42781,36939,40444,26965,29047,34774,33284,26022,13539,19220,23795,20832,10227,27336,17348,8671,8669,8506,9001,9332,8696,8677,22663,22861,21788,21800,22238,22253,21588
5.24_1570.08,,,,1570.0845,5.238,20187,21577,17956,23274,25441,24605,20568,24646,25136,20525,20268,29414,7989,21088,18887,20937,9434,22807,22974,20220,16848,19444,20333,14480,24465,20516,22000,18322,21921,20775,20140,18848,14219,13861,12321,15041,23598,21851,25404,21565,17279,26180,23842,22724,16350,22594,24324,24814,14966,15288,14250,17539,14261,17905,58,116,113,139,169,6,80,22283,22175,21235,21412,22091,21613,21542
8.97_947.76,,,,947.756,8.969,1136,3406,1873,11803,790,930,1093,1200,2772,1821,2673,841,2207,2318,1629,3314,2597,10277,2295,15305,35612,8698,49678,150683,3705,7466,6921,2977,11186,10530,4628,3882,36959,124035,39985,11846,14622,48185,24086,17463,34052,80521,33906,10557,62820,29480,24283,11473,50492,63556,69892,1079,49497,9103,40319,39933,41989,39719,36023,35230,34290,24235,23200,23016,22438,22259,21808,21862
6.88_638.53,,,,638.5306,6.877,19402,12800,15248,19852,15797,10176,14347,24580,16931,14471,15041,12286,7588,14449,12284,13594,5163,29477,21597,43268,27453,18764,39253,25369,28711,18278,20602,30694,32386,28312,24128,23105,30916,25691,33694,26440,12975,23762,11188,12987,19710,12704,20216,15749,13263,11877,11214,17967,25441,21242,17803,24932,15836,25692,132,254,8,118,10,10,104,21029,20622,21275,21628,22621,21135,21497
4.67_935.57,,,,935.567,4.67,18409,20046,21361,20235,47465,18386,33106,34622,33405,29587,16305,71761,20958,19790,45490,13904,26148,18647,11102,10154,8550,11437,13956,14834,11746,9943,8267,31103,8166,12778,8222,7547,8041,4607,3935,5640,34160,25498,25889,16441,17359,17762,27366,25694,17160,16091,26997,23069,9581,10172,17350,17173,9227,15783,86,120,194,87,108,186,146,18739,19838,20974,20910,21837,21158,22173
6.34_831.63,,,,831.6265,6.339,14026,11663,17625,22657,11512,13384,14908,10131,11444,10723,15895,9237,9959,18347,15315,21807,3950,25837,17588,22012,35533,17114,20960,25654,20238,27450,26165,17416,22939,21290,19279,29089,30033,42573,38825,22316,15182,23802,19084,22716,27999,22220,14817,19271,20126,22277,18728,20962,29719,29932,30562,16354,28440,19374,4603,4775,4810,4673,4666,4516,4848,22661,22631,21538,20972,20774,21490,20662
4.66_461.36,,,,461.3645,4.661,9247,7961,8337,21307,6454,7426,9247,10876,9929,6679,8304,8947,3502,12700,6796,10263,2557,19526,8694,25110,28551,9739,39975,60767,13782,11486,13532,9927,14932,19041,7882,5796,31741,59217,47283,25930,20808,34844,26775,20429,42426,62316,32270,16504,32670,29056,27836,29490,35798,35707,35770,11747,31628,16634,1466,1271,1618,1860,3240,3124,3237,21201,20673,21046,21685,21047,20066,19920
4.73_672.42,,,,672.4153,4.732,14901,11628,16566,21626,16108,16532,20737,15924,15133,20867,17702,16527,62729,14356,18798,21756,56623,16982,18921,21174,22164,21261,17523,22693,23085,29309,24354,17209,21073,19265,26198,18890,23381,23865,22269,17184,21890,24752,24009,22048,19042,31303,23000,19458,23090,24557,21880,20526,24543,27819,21576,20689,21401,20242,5583,4377,5182,5377,5131,5477,4672,25229,23454,21959,20178,19289,18146,18735
5.38_747.52,,,,747.5244,5.382,26088,22727,28008,22089,19945,28119,26849,26887,28033,36465,22558,18379,19499,20416,51018,26362,18177,14339,18715,18243,15005,16601,15298,16959,15032,24147,16337,14089,13359,11711,17857,14372,15019,14695,14937,17012,15748,13674,15104,17163,13084,21238,18535,18804,18855,16606,16007,15570,20375,25963,16020,27825,18290,18177,1854,1784,2414,2410,2573,2978,3346,20042,20119,18291,16757,15899,17320,16526
10.34_186.04,,,,186.0395,10.339,8648,11059,17071,21638,6467,14010,6829,14300,15923,22884,17289,9089,20934,10210,15774,19953,17070,17151,13552,23014,28206,26859,19845,27003,26892,34629,26988,12452,27002,22507,21348,16097,31349,27391,28909,19422,22205,29340,27391,28512,24445,38605,26576,19404,27710,31984,22504,21134,28907,35657,21099,8900,25658,13009,5821,4603,4818,4755,5076,4949,4736,32914,28402,26934,24442,23020,20617,20557
1.57_283.11,,,,283.111,1.573,29269,16759,17387,30246,23339,21026,26483,16223,20758,8002,25866,18160,122474,13039,21213,26707,97420,14887,14046,15633,14661,15966,17699,14769,15849,10941,11233,9581,9542,10130,7441,11861,14036,56627,22623,25314,20517,19303,17920,23085,19683,24950,23695,22599,19270,23179,24842,10301,32193,16039,16668,31609,21960,29512,21604,17749,18213,24301,25713,26747,27334,17505,20396,20316,22290,22317,23643,24455
