,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
10.77_929.76,,,,929.7584,ESI (+),10.773,43174,46316,32673,40708,29845,18759,10578,9675,24397,59912,17683,48909,18933,38761,32542,47159,40758,42340,62114,21749,48000,28377,64001,27208,42635,45253,73036,4849,49640,24814,45432,29625,25611,42471,23857,13713,29632,20028,26184,63574,26001,23278,25296,34727,42313,34082,46923,52571,30710,37267,38802,24668,42936,48619,7343,6598,4268,6444,6821,7406,6534,538,411,417,459,489,560,294,44436,42735,43050,45069,43813,44478,44201
10.02_978.85,,,,978.8494,ESI (+),10.019,44577,29717,27862,40482,29597,12317,5059,4736,16436,67160,8741,57479,8882,39584,19683,72472,32564,24190,81150,11090,36560,20631,92311,24296,41622,42636,121977,1800,48369,19976,76370,18832,18929,37067,12168,6699,33605,12915,25848,82464,19901,16348,16739,28439,73192,39121,62830,68726,22198,34153,34869,14936,37678,39816,1368,1003,589,1156,984,1139,1039,280,65,180,186,151,86,97,43150,42052,43836,41342,44733,45486,41814
9.50_944.77,,,,944.77,ESI (+),9.503,99974,51260,37330,42702,32143,19730,9974,5879,20046,102225,12624,73345,31692,39523,35825,126349,61126,25699,83876,9728,20270,14337,63237,22998,29496,26153,116497,1991,35233,17181,86461,15183,13805,27703,8714,5998,31470,9152,16182,54674,14880,15753,15945,22016,53135,21078,36431,49752,18120,22991,27840,13284,21809,46182,172,229,323,270,307,359,214,271,188,38,99,120,130,121,33702,35344,42990,35376,37342,35937,37316
10.34_879.74,,,,879.7426,ESI (+),10.344,56742,22684,29437,43767,33809,11170,6476,4252,13769,49834,8049,37613,4884,28596,18516,71085,59746,19865,70310,19183,32629,27504,83885,24414,36917,30901,103942,2119,47666,58153,65872,19762,25118,47218,18809,8540,51701,20743,33684,59182,25695,22740,21452,24028,59624,35788,52607,50841,30141,46830,32929,23169,39454,35204,14112,11373,8048,22290,22286,20232,20935,162,268,154,250,176,329,237,41988,36207,32119,38058,39886,41120,39600
5.74_794.61,,,,794.6065,ESI (+),5.74,6252,8856,7956,20009,34338,8495,3086,7528,16865,8094,132130,214898,1061,26533,2295,4722,12509,37918,37893,29413,35203,42030,48695,23613,47070,33775,26927,3533,61278,34194,33488,29924,43074,30880,15134,18513,39789,34122,37032,35834,53740,48856,52147,33512,44930,36997,41990,32302,33165,49419,57816,41098,38383,48545,50516,40262,10371,26851,28314,28106,27590,169,97,242,157,126,194,84,27214,27323,23273,24037,20668,34600,25680
5.42_1638.21,,,,1638.2096,ESI (+),5.42,1.38,226,55,3648,1188,92,101,172,243,187,3074,14112,1.38,44438,1.38,156,1.38,31059,8092,15504,19230,4575,14584,6095,11872,16155,11935,185,27981,8072,16213,18507,19774,14554,1443,3312,108377,172277,76992,38049,175092,97895,118930,62770,142813,100801,91785,30216,38279,71880,107982,21222,62010,71764,1.38,54,95,1.38,68,1.38,1.38,61,35,39,1.38,1.38,1.38,80,21061,20412,20918,17846,19652,20814,23702
6.35_395.24,,,,395.2406,ESI (+),6.346,21496,31902,29736,30548,24403,7586,26023,21808,258281,27004,30755,28068,20712,19317,23923,21545,31644,23099,22765,23366,21225,19241,23386,30455,31413,23886,22132,24651,31763,28625,20656,9431,31531,27657,27150,22664,26129,320124,29872,22749,46080,23254,32687,21993,27874,26118,24345,27675,24673,25519,22357,29898,22870,27860,24151,26361,29704,6867,28897,23001,23278,28847,21070,28560,13344,23766,22594,23088,28643,32108,7647,31267,21438,23557,16870
8.90_914.73,,,,914.7266,ESI (+),8.903,48988,34003,19424,40063,39946,11722,4336,5414,23989,87240,8267,99407,8395,36647,17055,91876,31182,16506,103300,7474,26257,12904,76310,14323,30223,29674,195775,2103,39298,14147,65979,12847,10273,23806,7476,4841,33133,9578,25233,89593,19535,14654,15859,30612,63818,27460,52255,70073,16841,26450,25823,11725,23907,42562,4.78,4.78,4.78,4.78,4.78,4.78,4.78,222,77,200,177,147,55,48,37372,37011,36614,36516,37924,37412,38435
4.53_882.59,,,,882.5915,ESI (+),4.526,3597,11141,13145,9120,36877,8510,6428,25664,8633,27726,15281,65176,5421,25809,11996,10192,28715,30123,25687,41857,49122,24607,43980,22409,35757,37663,26458,8177,31527,45015,38588,29906,29664,32392,10203,19776,71860,39830,41664,33108,65159,42696,46013,36616,42920,43603,33264,44745,90006,49310,78591,71680,38667,130572,775,686,352,842,752,771,800,87,97,79,137,167,213,165,35439,32162,32133,29820,31267,32956,35596
10.33_577.52,,,,577.519,ESI (+),10.329,44143,22349,14123,30543,21138,4730,2152,2279,7606,50900,4146,30989,2931,18613,7294,77879,19366,13926,114189,8500,29134,12976,135510,13184,37216,28849,201987,943,59799,23636,82123,12280,12913,46165,8160,4123,30511,11105,27601,101640,19392,15912,16628,21412,65224,40675,67173,72917,24022,50606,32446,14625,35959,41754,3050,2199,1126,2746,2749,3020,2724,203,207,263,171,253,144,119,38464,38201,39478,40271,41585,40989,40869
5.65_822.62,,,,822.6196,ESI (+),5.652,5.3,5.3,5.3,13549,51099,5.3,5.3,1897,5.3,5.3,8755,40942,5.3,43288,5.3,2976,5.3,30118,41367,61938,49250,19383,54029,11503,47144,35649,47006,2618,80071,47099,28411,29890,44319,47171,12000,13696,62872,54109,70336,44614,85234,101384,60698,57540,70749,81777,69744,37025,40641,32707,48690,27154,47513,36369,4744,1921,1061,2125,2243,4063,3931,142,127,5.3,138,116,68,175,37539,34119,34780,31111,34396,35549,36978
10.46_551.50,,,,551.5041,ESI (+),10.455,69650,28794,27253,39123,31821,7540,3507,2659,9410,56453,5012,38034,3612,30844,12960,93754,35550,18044,104482,6568,33071,25877,97838,29781,51827,38612,105342,1116,57314,13227,113166,21082,19861,54924,14072,6332,19287,5505,15248,69657,11117,8048,8750,15525,77554,35617,58081,79543,23218,35691,31980,12930,37333,40710,2736,1996,921,2234,2394,2426,2497,281,149,225,186,306,206,230,40961,43330,42756,46005,44137,44990,47469
10.57_930.85,,,,930.85,ESI (+),10.568,93153,34469,32698,46880,37751,15468,5578,3279,14006,65779,8928,43646,6082,32616,16700,123256,43164,17206,98278,12088,29942,22189,79839,26213,40828,31229,100340,1022,53497,29040,92042,19932,19529,48074,13159,6951,21508,9234,21992,51236,14989,14374,14088,18190,53200,30823,46550,48371,26566,36180,25795,17642,31202,31951,15880,12319,3867,14300,14407,14781,15204,272,104,128,155,211,75,148,39007,41087,40391,42452,39981,41643,43276
12.36_922.01,,,,922.0098,ESI (+),12.356,32508,31342,30592,34421,35787,28763,38069,34238,27225,31313,35166,36926,32360,31897,28939,29645,30307,33987,33085,41597,29343,29191,28235,30944,31700,32058,29403,35921,35788,32696,33717,25177,33175,30732,30887,25961,28559,28455,34385,30292,29928,30928,33154,184741,36842,33836,28469,33779,27299,26763,33341,36540,33411,30525,31732,33478,23633,41872,32940,32398,33383,37269,27736,29913,32417,36230,31907,31845,33115,37931,36264,33900,32826,32808,28883
9.12_395.24,,,,395.2406,ESI (+),9.119,25717,10957,32345,33628,7222,30151,30986,26389,23722,31315,32347,30487,325447,21413,26576,24265,31656,25038,24542,25839,7406,24812,28525,10379,35097,25165,35469,28286,33640,31762,26182,21204,35195,29760,28685,116074,27883,29734,36071,25627,23464,23679,44819,23125,31140,36455,25664,29447,38957,23609,25662,34223,26441,29967,30447,27609,45036,19384,31396,26373,24770,31651,22736,34341,23107,6624,25700,25411,31103,34082,20489,35245,26051,25783,18749
10.43_808.74,,,,808.7389,ESI (+),10.426,82845,34473,25779,42817,56869,10944,4249,2328,14829,65622,5653,48087,2011,24679,8846,123354,34287,11661,141241,6880,32095,21421,90254,24148,49785,31555,168534,1086,65466,14072,93719,16819,14000,48916,13114,5991,14364,4012,13397,69957,9485,8015,5909,17045,46186,27988,44762,55754,17438,21179,17531,9467,24537,26994,2632,2182,1178,2676,2707,2474,2347,335,333,361,539,346,384,398,39675,41978,40988,42254,35811,41796,42272
11.09_914.82,,,,914.8196,ESI (+),11.087,146994,33800,36815,50021,32793,16408,6228,2990,11674,87048,8261,42040,8181,32149,16482,187940,58153,17368,107588,7544,24000,17201,73213,21285,34347,23453,71685,905,52597,24256,95604,13831,14250,46945,10608,5655,13397,5943,15610,40498,13057,11101,10351,14143,50971,24414,40044,42940,21468,34664,21255,13352,27358,29679,3061,2098,1041,2488,2568,2497,2571,172,103,198,130,128,178,132,38731,39815,38477,41338,42680,38941,40212
4.55_856.59,,,,856.5872,ESI (+),4.548,15767,31410,21453,14678,123378,16386,11414,13039,8496,41309,14287,53717,6345,26410,13151,10950,34781,75725,34838,34753,34287,23795,35049,18102,39141,30064,18087,4750,35670,44584,33054,33094,27007,42791,17295,28721,45808,21439,37069,33300,41070,27304,29167,32512,20664,34625,23716,32284,84644,33902,72616,63557,40792,125118,80,124,36,176,464,336,188,116,202,176,3.65,245,88,96,31340,29247,29079,27147,27335,29562,30545
10.31_998.82,,,,998.8192,ESI (+),10.31,70005,53441,43253,31850,19595,12357,5008,3387,8755,126967,7749,57494,47849,32276,52273,109293,51706,22926,100041,7220,27177,11674,86973,10905,34028,31745,127414,1528,47423,14155,80131,11676,9752,34225,6443,3585,20677,6259,14653,69586,10713,8782,12124,16912,61076,22122,50534,55955,12168,19604,20917,7700,20904,31362,396,271,261,420,389,469,276,140,107,89,92,78,46,49,36910,37670,36791,37887,39061,38839,39443
10.27_992.87,,,,992.8658,ESI (+),10.273,63036,37622,34497,44259,31634,14945,6455,4991,16775,88898,12610,70208,17383,41139,27472,86013,49517,31385,68510,9864,29901,19310,70602,26288,32493,30676,84872,1845,41052,24363,65901,16780,16385,38007,10557,6359,28807,14392,26008,61083,20182,18026,20503,21578,58095,28764,51664,53440,23145,38004,33243,17870,34788,41801,13757,11241,4684,12297,12100,12933,12238,224,173,250,108,47,227,144,39218,37629,39024,38673,41492,41761,40023
9.13_921.70,,,,921.6974,ESI (+),9.128,98780,58055,33979,50071,43690,18631,11556,8278,21325,82702,16069,69108,19086,36410,29711,104349,50345,20398,72796,9533,21021,15235,56262,21966,27196,26909,87246,2015,34246,14365,76694,14866,13943,30100,8273,5585,35263,8331,19702,55946,14187,12905,13227,21348,59783,22534,41303,51064,25407,36996,35699,22036,27076,49924,6.22,6.22,176,6.22,6.22,6.22,6.22,274,179,82,195,165,121,62,35659,35248,36645,36311,38972,39597,40736
0.89_256.26,,,,256.2638,ESI (+),0.886,425,253,624,694,418,468,339,396,523,400,400,371,451,471,430,342,619,443,511,385,545,589,638,409,569,320,399,489,530,564,444,464,305,495,516,653,505,471,470,494,1833953,452,559,535,444,525,419,582,511,362,393,407,455,514,386,563,468,485,492,365,498,418,642,391,381,338,364,416,266,743,426,517,465,316,458
10.44_912.80,,,,912.7974,ESI (+),10.436,59784,35533,22929,41650,30933,11107,3778,3173,12658,78069,7103,50922,6526,32651,13690,86807,37870,18190,94742,11684,33097,16726,86399,18560,39733,32198,122977,1253,57060,28964,66238,15476,14298,43564,10511,5054,23844,9328,22844,80739,17687,14834,15875,22449,54693,34827,55841,58868,25783,44087,30682,16098,35957,41011,2852,2428,1285,2834,2730,2543,2687,128,200,177,104,172,202,144,41239,43116,43209,42135,42486,43898,44342
5.02_813.56,,,,813.563,ESI (+),5.021,8761,15393,9797,21645,23395,20559,6534,21070,38944,14416,23930,38493,6106,23852,7861,9176,14279,35175,61460,50166,62925,42549,41260,33760,44617,49748,54230,20829,55632,50307,39002,41751,29437,31973,29303,24558,37549,44736,58379,52821,59366,53954,59481,52358,31400,43063,54429,46382,21180,22782,27278,22496,36316,26328,442,465,379,997,772,417,940,79,213,309,174,214,124,210,36428,37231,37910,37979,37350,37161,38122
9.85_952.84,,,,952.8351,ESI (+),9.854,48802,37011,23646,41123,36235,12658,4439,3770,16103,46495,7366,53276,5843,27807,13730,92488,33308,16193,107887,9676,32546,17563,89237,19894,40721,36602,150147,1126,51950,19180,77196,16147,14241,39164,9596,5431,27901,8384,23702,83523,15010,13149,13729,24480,61048,32368,54065,65182,23185,34941,28330,15441,30054,38418,918,955,686,801,1040,771,506,199,130,114,100,106,112,62,40019,40790,40379,40262,42850,42089,42798
10.63_691.60,,,,691.6034,ESI (+),10.626,16447,26352,13513,25026,106039,109530,5651,26936,93660,103202,81190,98048,11117,32971,6886,23618,51202,98358,54531,64476,34643,26265,32505,45837,45500,34451,19634,9856,51297,189441,19437,10996,6829,19336,5838,3885,8350,13240,17405,23616,7097,17860,17908,13065,5778,9267,9038,10120,23836,13439,15804,15531,9093,14169,526,291,128,291,440,359,427,5.99,84,159,129,167,151,138,34978,35089,35463,37359,36729,36530,36627
0.86_214.25,,,,214.2533,ESI (+),0.856,21344,12358,32107,4614,39308,9406,2551,34786,4325,23765,8036,17022,55375,4811,6647,29458,3613,24070,25648,10708,61444,15277,43645,31500,53170,53647,23170,22209,7259,66088,30557,15881,23468,10844,11630,16317,8078,34053,40114,62214,345303,52780,52739,11105,61917,20103,11748,25861,39569,17034,95636,36506,11525,63312,34871,26914,14173,121224,38062,40099,41948,8635,9517,29520,16681,7545,7365,8651,7923,6287,5411,18989,9641,9966,9296
10.44_855.75,,,,855.7457,ESI (+),10.435,102375,33531,29379,48780,33391,9380,4213,2155,8705,50454,5819,33966,3261,26234,11034,121201,40898,12845,119236,7858,29257,23197,95686,25754,50978,27413,125382,619,68369,19569,111333,20200,18335,62636,15968,5896,14457,4162,12475,46435,8460,7451,6312,10526,55434,26373,37483,51895,24282,32433,24499,13801,29087,30870,17820,13518,5242,14200,14388,15144,15053,143,106,172,74,122,143,35,38771,39882,39815,41821,40085,41161,42028
1.98_395.24,,,,395.2406,ESI (+),1.983,15111,14017,21131,24079,21145,18438,22719,21417,29523,21641,25997,23973,21645,20534,19418,19045,28862,20133,20314,20110,18886,705532,19563,20258,19864,19587,23183,21165,23949,24713,18767,22614,25338,26253,23370,18507,21231,22989,27393,19863,16426,20380,24507,18627,5080,25149,30540,20529,23746,22741,20380,13970,19185,25996,26384,15901,21109,22172,23311,21231,21125,23538,12206,22486,19135,20242,24755,18821,24504,27459,19794,22920,17420,19900,18478
10.92_946.88,,,,946.8813,ESI (+),10.921,73780,34081,28764,42555,33061,13904,4846,2979,13429,55103,7843,36138,5275,28401,14380,94367,37600,17605,95230,14341,33998,22954,82947,25200,42858,32007,99460,889,60179,40262,76769,20503,19231,47800,15172,7358,22874,11903,26302,58331,21026,19852,18197,21652,46260,36615,48908,46488,28031,39460,24561,17398,33509,28747,12449,9664,3899,10687,10979,11003,11355,268,57,124,132,126,76,78,38865,40289,41124,41652,42935,42848,43487
9.91_991.85,,,,991.8498,ESI (+),9.912,55216,40503,28823,44725,31621,12474,5659,4617,15563,67848,11300,55837,13959,37548,24738,89511,42008,23796,70387,10612,28690,16291,79512,19647,29176,29335,104647,1494,42063,22110,60109,15130,16555,31153,9530,5257,34128,13736,28202,63160,20151,18248,19942,22520,63477,33073,55060,54013,25147,42975,37221,19044,36954,42701,2301,1771,751,1600,1825,1963,1779,156,38,84,120,78,52,60,37940,38353,39189,38354,41132,40409,25561
4.84_897.58,,,,897.5813,ESI (+),4.841,17694,35934,15634,22898,13241,37144,6243,20587,41867,24018,39238,105780,5512,51668,6394,7237,59140,39831,40181,55051,39273,27590,28727,23897,36427,40421,25467,4584,49940,44172,55090,46073,43909,52708,19187,34299,36282,21517,35374,31301,39388,38368,33256,22639,21452,28485,24740,25351,49210,30123,47316,48670,26907,38026,73,79,103,3.2,45,46,51,126,84,245,46,39,99,53,32901,31021,31358,30255,33708,37232,37152
10.63_877.73,,,,877.7274,ESI (+),10.633,51023,30605,21578,37062,33487,11891,5770,5822,15358,49912,8864,36663,4689,28546,13699,66147,30663,26452,85918,11581,37443,25495,70208,27942,50662,43044,78075,2561,55156,18246,74058,24701,21106,48291,19159,10924,25589,11785,23499,67636,18668,16729,16780,27334,58847,39635,54457,63415,31396,38068,34519,21021,38165,45088,25851,20937,9893,22544,23382,24998,25056,367,294,336,343,334,525,272,42178,42283,42168,45198,44427,44999,46299
10.61_395.24,,,,395.2404,ESI (+),10.606,8381,44771,33005,19282,29239,33060,32239,26174,24006,39554,33603,33651,27256,25521,26966,24335,29959,24666,25877,38223,27702,29894,28058,28293,35320,26601,21679,28555,41153,285227,27489,19723,37315,17804,30540,20168,22706,25492,39551,26034,23026,26597,36927,23867,33801,38315,27241,35074,17471,25425,27605,35835,26738,31220,32789,38054,20290,20670,33262,27704,26233,35098,23919,27376,27302,32353,25559,26746,32337,37030,29876,4112,47438,26087,34689
5.83_395.24,,,,395.2405,ESI (+),5.825,19793,248679,28648,29144,21240,36646,26642,21925,33308,25059,27854,25904,22219,16934,23657,22556,286936,21355,22674,22087,21119,18769,22077,28093,28573,22166,21566,25529,26972,25992,10809,34954,29109,24081,25247,19888,23554,25021,26167,21878,20366,22237,32393,21067,26150,24504,21086,26859,22940,24204,20882,28193,21745,24139,28183,4493,26900,34068,27249,21098,22991,28982,20299,26969,930,22784,23223,23279,27132,31671,160457,27572,19612,22355,16579
8.27_395.24,,,,395.2411,ESI (+),8.271,23637,15619,31032,34493,27201,34343,30128,26191,24319,31433,31503,31728,22036,22613,25988,25406,32074,24746,25097,25113,39645,15573,26961,314733,38296,25756,26646,27806,32580,31378,24098,40217,34335,29428,28413,19426,21357,24136,34324,24430,21914,26043,36997,22863,31302,33437,25091,27497,33316,24345,24419,33875,25045,28246,29564,24419,33849,20022,30548,23963,25333,31060,13523,33582,26260,34656,24897,25387,32281,32284,24043,33834,24360,25311,18075
10.18_981.87,,,,981.8682,ESI (+),10.18,91235,41893,32084,47019,34245,15736,6388,3288,13390,68977,7025,45095,7042,29481,18978,110738,46396,17994,96266,10168,32921,20976,77536,22953,41044,29452,113805,905,53711,22969,76668,20561,14817,46250,14320,6134,17540,6762,17508,59675,12506,12257,10739,18713,45904,26442,40403,47788,20074,27620,23697,12603,29651,30002,2383,1899,886,2020,2130,2035,2081,150,144,137,72,103,146,119,38967,40960,40242,39147,42387,43249,42424
10.47_967.85,,,,967.8528,ESI (+),10.469,42321,20885,27871,36107,21580,9315,5815,5515,12797,60530,10205,41582,9482,36700,19807,59235,32938,27665,61206,9378,32455,24737,77685,27194,41700,41015,65603,2232,41571,14133,81945,21843,23208,41351,14741,9774,29051,13644,23580,74517,18236,15884,16328,24785,84156,39694,62662,76525,23709,38157,39690,17492,40616,44051,1987,1664,1238,2082,1967,1687,1749,202,84,123,139,79,138,191,38920,38616,41316,42657,35228,43188,43496
9.78_978.85,,,,978.8502,ESI (+),9.78,109202,43815,33782,48717,39856,17000,6821,4113,14074,84277,9289,53694,9195,34811,23914,131834,53556,17539,89139,8096,25188,18026,71400,21791,35781,27897,97667,972,46396,12748,82304,18163,14615,42119,10508,5889,17653,4899,13053,47752,8913,8870,7601,15840,52361,21684,39348,47576,18362,26597,24362,12219,27258,32438,1244,1066,640,1201,1163,1148,1086,199,6.65,147,129,67,95,89,38639,37987,38621,37025,40066,42229,41756
6.03_627.54,,,,627.5355,ESI (+),6.031,18087,30300,20884,21803,46089,26405,8724,14524,21738,27989,25236,36957,9802,48912,15913,18326,50187,75937,33878,45093,35257,30534,47606,18011,43841,34055,36247,5859,50943,46272,36068,37117,34603,45112,20188,20013,32846,27645,26731,33591,35238,34178,33334,26106,28588,31162,25266,25195,49931,42846,57739,42947,41599,57088,4732,3954,1934,3653,4093,4245,4024,202,251,365,311,476,292,546,33359,32668,32080,30462,31362,33332,35541
4.84_822.60,,,,822.6019,ESI (+),4.845,8748,15887,11777,22711,35932,12730,3178,7668,19098,16969,23795,89596,3214,58206,3887,6004,39735,47792,50773,57893,44010,45542,53123,28707,53369,48951,42747,5125,76813,60635,47204,48985,55083,69018,24462,29456,38018,18084,43988,22824,39083,44991,31794,22274,21667,30585,25822,23060,29688,15569,33707,23826,29499,24778,65,135,144,109,228,67,118,54,116,136,137,120,90,84,33075,31167,31356,29185,31771,32921,34460
7.00_520.43,,,,520.4279,ESI (+),7,76450,78300,102213,69183,63816,103486,56149,88774,93199,95666,105269,91339,55809,87630,54450,82889,75946,58692,13792,6346,6234,10421,7535,8833,10294,9001,4765,9584,9206,11613,14882,12658,12165,13983,10250,11291,13537,7846,8414,9516,8311,6658,9020,8765,7560,8466,5736,8536,10181,12040,7113,10604,7892,15014,140,292,366,243,209,284,386,226,255,478,430,476,565,351,47165,46236,44663,44845,43923,42239,42847
0.56_433.21,,,,433.2075,ESI (+),0.56,86,0.87,121,93,87,66,0.87,0.87,122,36,0.87,70,38,44,224,0.87,77,36,30,66,0.87,0.87,114,31,216,0.87,57,0.87,0.87,0.87,36,37,100,77,45,253,41,48,46,122,1778726,64,89,28,77,51,40,204,57,35,59,37,0.87,0.87,99,161,337,55,0.87,46,76,9,332,105,42,0.87,62,37,0.87,155,66,44,0.87,66,101
10.75_976.83,,,,976.8342,ESI (+),10.747,89341,43255,39632,50626,26586,9716,4789,2316,9299,104739,6615,44183,8043,30960,21694,113987,59446,23878,83843,10132,30424,17151,66214,15140,37631,27662,80278,731,60992,25361,72982,13628,11188,48527,10625,3451,18403,9590,22702,59219,15925,13824,16238,18040,51409,27983,46477,47906,15318,24268,19343,8426,30917,28197,2295,1904,862,1909,2053,2068,1812,141,87,87,72,36,94,75,40529,40541,39936,41725,43169,41265,41156
10.31_911.79,,,,911.7902,ESI (+),10.31,113822,44095,32948,45312,35839,20568,8991,5811,16093,84751,10921,54429,12179,31318,18730,147182,51561,15939,98629,10203,23404,17134,62366,21302,33366,24956,83945,1501,45500,23109,72762,15522,13735,36202,11833,7664,17324,6533,15213,49351,11748,10760,10673,15878,43200,20696,35240,43988,21299,28211,21997,15840,24178,31736,2120,1359,782,1978,1423,1589,1433,210,117,63,105,133,181,112,34607,34680,35951,35513,37525,36566,37552
10.88_877.80,,,,877.8043,ESI (+),10.884,102857,25194,21638,33520,22483,7657,3098,3091,9534,58173,4734,28699,2953,19870,10201,116351,31228,12112,121030,15224,32055,16621,101460,18901,36381,26110,122451,711,60937,50018,83093,14255,14396,44033,11769,5436,17098,9250,21052,62771,20182,15896,14400,18082,47360,29064,48354,45257,20161,28198,18321,12285,27686,23491,9685,2251,3199,6161,7085,8332,7380,269,211,102,167,159,223,61,35853,36954,33316,39471,41393,40173,39442
6.49_684.21,,,,684.205,ESI (+),6.493,22700,20294,24034,90727,17286,43915,18235,15669,23654,20748,23981,17771,22950,18748,18843,17708,20010,22252,16345,61548,66048,24556,19121,19022,22668,18850,22995,23351,26510,15783,16820,21436,33729,27673,59078,20272,19797,59752,33369,20433,166102,30381,44875,33100,20606,22483,17083,34271,70213,35933,21338,95252,18062,28517,35196,238534,143351,24990,28968,29327,41742,58021,21802,19299,16294,33041,18873,25754,31386,47336,30284,16960,44984,31621,37327
10.16_849.70,,,,849.6967,ESI (+),10.164,45337,27880,20927,34104,36956,11607,6275,5024,16480,44252,8142,37412,2399,25770,12672,59156,26457,18707,82771,10264,37522,27565,73696,29998,51112,40129,87426,2120,51651,14294,77888,26700,22687,48727,21549,12062,22292,9033,21701,67803,16181,15112,11112,29403,58120,38822,54772,63669,26925,32423,30843,16545,37402,36646,7552,5504,3154,6434,6635,7040,7041,513,384,324,324,272,289,249,41202,40391,40934,41780,43666,44336,44739
3.75_395.24,,,,395.2407,ESI (+),3.748,18472,16950,145952,28083,22455,21933,24873,22536,33685,24241,28800,27152,32482,22377,22769,20626,31923,18601,22842,22327,20637,16631,21290,26616,26551,21905,2060,23544,27871,27177,23335,27984,29869,29231,24464,346554,24993,20686,27516,22583,17903,22529,29757,20657,25847,29160,22417,22571,24389,25858,22070,26039,22669,23996,27972,20748,24923,26122,27169,23561,20757,28642,23397,23460,24687,20047,22742,22270,27141,23846,20643,28461,18967,22657,22810
7.85_395.24,,,,395.2407,ESI (+),7.854,24549,174,30573,33160,25509,31752,30085,24779,23557,31160,30704,30193,21092,20019,25947,24445,27481,24639,24589,24754,77553,43279,26819,31880,36686,24519,26971,26239,33454,32250,24064,26942,34545,27540,28492,18102,230277,26463,36070,24765,20127,24086,36436,22775,30398,32981,23293,27362,29459,24553,24470,32636,25466,27291,28662,24600,33298,47327,30612,24524,22693,30526,38332,33709,27239,35728,24257,24440,30579,31226,22476,32665,22685,25540,16866
10.15_992.86,,,,992.8634,ESI (+),10.152,93802,48553,40905,46800,32841,21342,8593,4467,17143,77657,11279,51672,21614,36780,28196,112027,56737,19945,71953,12876,25241,17588,54796,21785,30813,27124,77486,1135,35757,23643,63254,16262,13950,36041,10305,5845,22737,7380,18534,47003,12671,13073,13045,17560,44836,23577,36223,40967,22825,29994,24266,17279,26967,31997,1750,1216,694,1110,1024,1487,1506,59,4.81,48,69,122,123,54,36399,36289,35909,37420,38735,38042,38277
5.17_716.56,,,,716.559,ESI (+),5.166,6820,17845,12057,20089,55626,14841,2998,13182,28806,23654,19907,61161,1841,38890,4730,9592,26208,47369,37494,46735,42316,21099,46749,13922,48934,34911,40518,3134,52902,45246,24114,23662,26514,29111,11252,10213,58108,32767,53163,46722,61650,58594,48017,42072,35586,45359,37930,40897,27059,31323,48857,22228,37362,33503,445,431,239,532,502,532,553,146,65,106,51,146,233,77,32777,31094,30694,29061,31031,33897,34633
9.88_932.77,,,,932.7723,ESI (+),9.882,110602,44239,36720,40361,26995,20337,7052,5443,15675,90935,9671,67111,32471,37700,30690,141384,56445,16761,80632,6296,17956,13245,64115,18487,25939,24887,99837,1690,32209,10953,80948,12553,9951,25707,6566,4755,17072,6015,12542,46693,10407,8394,10041,13524,52647,16413,34124,47882,13062,21172,22509,10168,19716,35275,631,434,412,496,538,585,383,111,165,148,124,238,260,139,32145,32000,31752,33703,33402,33346,33990
10.07_952.83,,,,952.8328,ESI (+),10.073,83043,36555,37472,49348,35259,15706,8042,5032,16127,61743,12053,48886,12510,38978,23997,99689,47502,22136,72384,11299,27206,19598,64886,24400,33934,28286,80883,1219,32720,20539,71299,19187,18910,40668,13104,7012,22657,8422,18208,44444,13488,12585,11933,16616,51180,26694,40188,44496,24914,34539,29263,16909,30680,35505,4489,3707,1734,3776,3505,3776,3756,192,156,131,51,92,172,75,37329,36824,37292,37121,39182,39144,38038
10.86_954.83,,,,954.8343,ESI (+),10.858,71121,38098,38097,43547,30617,18069,9499,5851,16836,83011,14522,45986,14962,35775,25960,94178,49460,21329,73185,17810,27445,18515,56833,20442,29636,26526,62337,1778,44711,32557,74758,16469,16760,38695,13220,8261,20211,12008,21803,45733,17074,17084,16480,19435,47233,25820,39069,42297,24317,31598,25890,18027,28152,30949,3346,2722,1662,2853,2928,3037,2948,254,251,213,99,103,116,39,36877,36061,36148,37018,37043,36434,36096
